Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Faizabad||Executive Engineer(LID) Faizabad,21/EE/LID/AYO/23-24,2024_UPIDM_902467_1,Yes,Open Tender,Piece-work,Works,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,22-Feb-2024 10:00 AM,27-Feb-2024 04:00 PM,22-Feb-2024 10:00 AM,27-Feb-2024 03:00 PM,22-Feb-2024 10:00 AM ,27-Feb-2024 03:00 PM ,22-Feb-2024 10:00 AM,27-Feb-2024 03:00 PM,28-Feb-2024 11:00 AM,"29,000",Yes,fixed,,Nil,Nil,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,354.0,Nil,Nil,No,EXECUTIVE ENGINEER LID AYODHYA,OFFICE OF EXECUTIVE ENGINEER LID AYODHYA,SUPPLY AND LAYING OF HT CABLE,SUPPLY AND LAYING OF HT CABLE,AS PER TENDER DOCUMENT ,NA ,"16,86,656",Electrical Works,SUPPLY AND LAYING OF HT CABLE ,Tender,90.0,30.0,AYODHYA PUMP CANAL VIKRAMJOT BASTI,272001.0,NA ,NA ,NA ,OFFICE OF EXECUTIVE ENGINEER LID AYODHYA,No ,No,AOC,05-Mar-2024,"INR 1,614,830",30.0,GYANENDRA MANI TRIPATHI,02-Mar-2024 12:23 PM,aochtcableapc21.pdf (321.00 KB),Lowest rate quoted tender awarded.,1.0,4235588.0,M/S BHARAT ELECTRICAL ENGG WORKS,INR,"1,614,830",1.0,4236312.0,Jaiswal Electrical Stores,27-Feb-2024 12:15 PM,Rejected-Finance,Higher rate quoted.,28-Feb-2024 04:25 PM,Finance,FINANCIAL BID,GYANENDRA MANI TRIPATHI,28-Feb-2024 04:20 PM,finance_1554474.pdf,BOQ Comparative Chart,GYANENDRA MANI TRIPATHI,Internal,EXECUTIVE ENGINEER TUBEWELL CONSTRUCTION AYODHYA DIVISIONAL ACCOUNTANT LID AYODHYA,GYANENDRA MANI TRIPATHI,28-Feb-2024 04:25 PM,finsummary_1554474.pdf (535.52 KB),U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Faizabad||Executive Engineer(LID) Faizabad,2024_UPIDM_902467_1,21/EE/LID/AYO/23-24,SUPPLY AND LAYING OF HT CABLE,Technical,technical bid opened.,GYANENDRA MANI TRIPATHI,27-Feb-2024 05:58 PM,technical_1554474.pdf,GYANENDRA MANI TRIPATHI,Internal,EXECUTIVE ENGINEER TUBEWELL CONSTRUCTION AYODHYA DIVISIONAL ACCOUNTANT LID AYODHYA,GYANENDRA MANI TRIPATHI,27-Feb-2024 06:02 PM,28-Feb-2024 11:00 AM,techsummary_1554474.pdf (535.52 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,4235588.0,M/S BHARAT ELECTRICAL ENGG WORKS,27-Feb-2024 09:23 AM,Accepted-AOC,lowest rate quoted,02-Mar-2024 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3.0,4235560.0,M/S KANAK BIHARI ENTERPRISES,27-Feb-2024 09:15 AM,Rejected-Finance,Higher rate quoted.,28-Feb-2024 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4.0,4218373.0,SUYOG ELECTRICALS LTD,23-Feb-2024 06:44 PM,Not Admitted-Fee/PreQual/Technical,Others-Original documents not submitted in the office to verify.,27-Feb-2024 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
