object_id,count_bhuvan_pixels,count_inundated_pixels,inundation_pct,inundation_intensity_mean,inundation_intensity_mean_nonzero,inundation_intensity_sum
09-149-00783,492792,30561,0.062016022987386156,0.015504005746846539,0.25,7640.25
09-190-00959,415288,0,0.0,0.0,,0.0
09-163-00844,203413,725,0.0035641773141342984,0.0008910443285335746,0.25,181.25
09-134-00715,382484,803,0.002099434224699595,0.0005248585561748988,0.25,200.75
09-134-00715,382484,803,0.002099434224699595,0.00027865445622573257,0.25,68.25
09-137-00729,307474,5038,0.016385125246362296,0.004096281311590574,0.25,1259.5
09-153-00802,512014,44454,0.08682184471518357,0.02949138109504818,0.3396769694515679,15100.0
09-142-00749,242401,92,0.00037953638805120443,9.488409701280111e-05,0.25,23.0
09-184-00936,228406,1831,0.008016426888960886,0.002025997565738203,0.2527307482250137,462.75
09-200-01006,1184003,0,0.0,0.0,,0.0
09-201-01008,564254,0,0.0,0.0,,0.0
09-177-00905,219626,2656,0.01209328585868704,0.0037563858559551237,0.31061746987951805,825.0
09-150-00789,293976,11967,0.04070740468609682,0.010176851171524205,0.25,2991.75
09-176-00896,331038,0,0.0,0.0,,0.0
09-172-00878,731611,0,0.0,0.0,,0.0
09-166-00857,468438,0,0.0,0.0,,0.0
09-706-00913,263012,0,0.0,0.0,,0.0
09-141-00743,238619,0,0.0,0.0,,0.0
09-195-00989,302426,0,0.0,0.0,,0.0
09-186-00943,260659,13961,0.05356039883525986,0.02085579243379281,0.3893882959673376,5436.25
09-200-01004,379547,0,0.0,0.0,,0.0
09-164-00850,495630,2,4.0352682444565505e-06,1.0088170611141376e-06,0.25,0.5
09-198-00998,178466,0,0.0,0.0,,0.0
09-175-00893,333942,0,0.0,0.0,,0.0
09-176-00901,340198,0,0.0,0.0,,0.0
09-168-00864,478043,7,1.4643034204036039e-05,3.6607585510090097e-06,0.25,1.75
09-155-00811,716885,2282,0.003183216275971739,0.0008690375722744931,0.27300613496932513,623.0
09-185-00938,565747,16539,0.02923391551347157,0.009080472366623243,0.31061430558074854,5137.25
09-156-00815,503635,0,0.0,0.0,,0.0
09-137-00731,389674,0,0.0,0.0,,0.0
09-189-00956,345746,0,0.0,0.0,,0.0
09-184-00935,264747,116,0.00043815416227568205,0.00010953854056892051,0.25,29.0
09-179-00916,233484,0,0.0,0.0,,0.0
09-195-00987,245762,0,0.0,0.0,,0.0
09-178-00909,227386,0,0.0,0.0,,0.0
09-165-00852,305100,28,9.177318911832186e-05,2.2943297279580466e-05,0.25,7.0
09-201-01009,238336,0,0.0,0.0,,0.0
09-133-00711,340025,0,0.0,0.0,,0.0
09-194-00984,316740,0,0.0,0.0,,0.0
09-141-00744,185943,0,0.0,0.0,,0.0
09-166-00860,527344,0,0.0,0.0,,0.0
09-179-00918,276522,0,0.0,0.0,,0.0
09-180-00922,452765,7133,0.015754309630823936,0.00482590306229501,0.3063227253609982,2185.0
09-165-00853,559929,88,0.0001571627831385765,3.9290695784644125e-05,0.25,22.0
09-199-01001,596718,0,0.0,0.0,,0.0
09-173-00880,152240,0,0.0,0.0,,0.0
09-158-00826,319635,0,0.0,0.0,,0.0
09-167-00862,811300,0,0.0,0.0,,0.0
09-179-00917,245396,0,0.0,0.0,,0.0
09-157-00821,421688,12,2.8457058299026768e-05,7.114264574756692e-06,0.25,3.0
09-194-00983,361483,0,0.0,0.0,,0.0
09-165-00851,370466,28,7.558048511874234e-05,1.8895121279685585e-05,0.25,7.0
09-192-00972,210693,25130,0.11927306555035051,0.029818266387587628,0.25,6282.5
09-145-00763,214986,0,0.0,0.0,,0.0
09-158-00823,323632,0,0.0,0.0,,0.0
09-187-00947,492064,0,0.0,0.0,,0.0
09-180-00920,407001,20297,0.049869656339910716,0.01357613371957317,0.2722323496083165,5525.5
09-169-00870,547910,0,0.0,0.0,,0.0
09-148-00775,454824,0,0.0,0.0,,0.0
09-157-00819,214525,0,0.0,0.0,,0.0
09-174-00886,309590,0,0.0,0.0,,0.0
09-183-00931,325656,0,0.0,0.0,,0.0
09-194-00985,337075,35,0.00010383445820663057,2.595861455165764e-05,0.25,8.75
09-199-01002,383497,0,0.0,0.0,,0.0
09-145-00762,331571,0,0.0,0.0,,0.0
09-145-00764,488110,0,0.0,0.0,,0.0
09-171-00876,364207,0,0.0,0.0,,0.0
09-192-00973,231936,2483,0.010705539459161148,0.002676384864790287,0.25,620.75
09-168-00867,534892,0,0.0,0.0,,0.0
09-166-00859,493707,0,0.0,0.0,,0.0
09-138-00733,485945,10826,0.0222782413647635,0.005569560341190875,0.25,2706.5
09-138-00734,432203,0,0.0,0.0,,0.0
09-186-00941,214723,2144,0.009984957363673198,0.0024962393409182996,0.25,536.0
09-191-00970,181503,0,0.0,0.0,,0.0
09-175-00894,374485,0,0.0,0.0,,0.0
09-177-00903,281962,0,0.0,0.0,,0.0
09-150-00785,239726,30447,0.1270075002294286,0.040240733170369504,0.31683745525010676,9646.75
09-199-01000,515914,0,0.0,0.0,,0.0
09-157-00822,314022,0,0.0,0.0,,0.0
