Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Chief Engineer Agra Zone PWD Agra UP||MAINPURI CIRCLE PWD MAINPURI||CONSTRUCTION DIVISION PWD MAINPURI,9364 dt 28.12.2019,2020_CEAGR_423651_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical bid,14-Jan-2020 02:00 PM,27-Jan-2020 12:30 PM,14-Jan-2020 02:00 PM,25-Jan-2020 12:00 PM,14-Jan-2020 02:00 PM ,25-Jan-2020 12:00 PM ,14-Jan-2020 02:00 PM,25-Jan-2020 12:00 PM,04-Feb-2020 12:30 PM,"4,25,000",Yes,fixed,,SE,Mainpuri Circle PWD Mainpuri,1.0,BIS /Mfg lic /Dealership ,BIS registration for the items specified as ISI marked ,BIS registration for the items specified as ISI marked ,,1.0,SBI Bank,"2,354",EE,PD PWD MAINPURI,No,SE,Mainpuri Circle PWD Mainpuri,Road Safety work under 4 Lane Widenning and Strengthening Shikohabad Bhogaon road,Road Safety work under 4 Lane Widenning and Strengthening Shikohabad Bhogaon road,Please refer Tender documents. ,NA ,"45,00,000",Civil Works,NA ,Tender,90.0,60.0,Shikohabad Bhogaon road,205001.0,Mainpuri ,Mainpuri Circle PWD Mainpuri ,23-Jan-2020 12:00 PM ,Mainpuri,No ,No,Chief Engineer Agra Zone PWD Agra UP||MAINPURI CIRCLE PWD MAINPURI||CONSTRUCTION DIVISION PWD MAINPURI,9364 dt 28.12.2019,2020_CEAGR_423651_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical bid,14-Jan-2020 02:00 PM,27-Jan-2020 12:30 PM,14-Jan-2020 02:00 PM,25-Jan-2020 12:00 PM,14-Jan-2020 02:00 PM ,25-Jan-2020 12:00 PM ,14-Jan-2020 02:00 PM,25-Jan-2020 12:00 PM,04-Feb-2020 12:30 PM,"4,25,000",Yes,fixed,,SE,Mainpuri Circle PWD Mainpuri,1.0,BIS /Mfg lic /Dealership ,BIS registration for the items specified as ISI marked ,BIS registration for the items specified as ISI marked ,,1.0,SBI Bank,"2,354",EE,PD PWD MAINPURI,No,SE,Mainpuri Circle PWD Mainpuri,Road Safety work under 4 Lane Widenning and Strengthening Shikohabad Bhogaon road,Road Safety work under 4 Lane Widenning and Strengthening Shikohabad Bhogaon road,Please refer Tender documents. ,NA ,"45,00,000",Civil Works,NA ,Tender,90.0,60.0,Shikohabad Bhogaon road,205001.0,Mainpuri ,Mainpuri Circle PWD Mainpuri ,23-Jan-2020 12:00 PM ,Mainpuri,No ,No,22-Feb-2020,"INR 4,247,990",60.0,Anil Kumar,22-Feb-2020 07:30 PM,accpt4lane22020.pdf (239.00 KB),1.0,1565014.0,Nippon Signage India Pvt. Ltd.,INR,"3,738,231.2",1.0,1566746.0,A.M. Fabricators,25-Jan-2020 08:04 AM,Rejected-AOC,IInd Lowest,22-Feb-2020 07:32 PM,Finance,Financial open,Anil Kumar,22-Feb-2020 07:27 PM,finance_619723.pdf,BOQ Comparative Chart,SE,Internal,SE EE,Anil Kumar,22-Feb-2020 07:29 PM,finsummary_619723.pdf (238.67 KB),1.0,1565014.0,Nippon Signage India Pvt. Ltd.,"37,38,231.20",L1,Technical,tech bid,Anil Kumar,01-Feb-2020 06:54 PM,technical_619723.pdf,se,Internal,ee ee,Anil Kumar,01-Feb-2020 06:56 PM,04-Feb-2020 12:30 PM,techsummary_619723.pdf (169.40 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,2.0,BIS /Mfg lic /Dealership ,Manufacturing license / registration certificate -for Manufacturer ,Manufacturing license / registration certificate -for Manufacturer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,2.0,BIS /Mfg lic /Dealership ,Manufacturing license / registration certificate -for Manufacturer ,Manufacturing license / registration certificate -for Manufacturer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1565014.0,Nippon Signage India Pvt. Ltd.,24-Jan-2020 02:46 PM,Accepted-AOC,Ist Lowest,22-Feb-2020 07:32 PM,,,,,,,,,,,,,2.0,1566746.0,A.M. Fabricators,"39,97,358.59",L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BIS /Mfg lic /Dealership ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BIS /Mfg lic /Dealership ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1566815.0,Smt. Rajanshri,25-Jan-2020 09:58 AM,Rejected-Technical,reject,01-Feb-2020 06:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BIS /Mfg lic /Dealership ,Trade license / registration certificate and Manufacturing Licence of principal Firm - For Dealer ,Trade license / registration certificate and Manufacturing Licence of principal Firm - For Dealer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BIS /Mfg lic /Dealership ,Trade license / registration certificate and Manufacturing Licence of principal Firm - For Dealer ,Trade license / registration certificate and Manufacturing Licence of principal Firm - For Dealer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
