Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Greater Noida Industrial Development Authority,GM/PROJECT/K/2019/73 DATED 13.12.2019,2019_GNIDA_415061_5,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDIIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",20-Dec-2019 04:00 PM,02-Jan-2020 11:00 AM,20-Dec-2019 04:00 PM,30-Dec-2019 05:00 PM,NA ,NA ,20-Dec-2019 04:00 PM,30-Dec-2019 05:00 PM,29-Jan-2020 11:00 AM,"73,000",No,fixed,,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,GREATER NOIDA,1.0,RTGS - RTGS Payment,960.0,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,GREATER NOIDA,No,GM (PROJECT),GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,"Patch repair work at 60m and 80m wide road in Sector-10, Greater Noida","Patch repair work at 60m and 80m wide road in Sector-10, Greater Noida",REFER TENDER DOCUMENTS ,NA ,"36,28,560",Civil Works,MAINTENANCE ,Tender,90.0,365.0,GREATER NOIDA,201308.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,Greater Noida Industrial Development Authority,GM/PROJECT/K/2019/73 DATED 13.12.2019,2019_GNIDA_415061_5,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDIIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",20-Dec-2019 04:00 PM,02-Jan-2020 11:00 AM,20-Dec-2019 04:00 PM,30-Dec-2019 05:00 PM,NA ,NA ,20-Dec-2019 04:00 PM,30-Dec-2019 05:00 PM,29-Jan-2020 11:00 AM,"73,000",No,fixed,,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,GREATER NOIDA,1.0,RTGS - RTGS Payment,960.0,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,GREATER NOIDA,No,GM (PROJECT),GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,"Patch repair work at 60m and 80m wide road in Sector-10, Greater Noida","Patch repair work at 60m and 80m wide road in Sector-10, Greater Noida",REFER TENDER DOCUMENTS ,NA ,"36,28,560",Civil Works,MAINTENANCE ,Tender,90.0,365.0,GREATER NOIDA,201308.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,24-Feb-2020,"INR 3,007,713.79",365.0,Anil johri,20-Feb-2020 01:20 PM,97a.PDF (226.00 KB),AWARD LETTER DATED 18.02.2020,1.0,1513327.0,M/S RAGHAV CONSTRUCTIONS,INR,"3,007,713.79",1.0,1525354.0,M/S DEEPAK BUILDERS,30-Dec-2019 02:13 PM,Rejected-Finance,L2,20-Feb-2020 01:17 PM,Finance,UNDER EVALUATION,Parveen Salonia,29-Jan-2020 11:52 AM,finance_606203.pdf,BOQ Comparative Chart,DGM_FINANCE,Internal,SM_1 SM_8,Anil johri,20-Feb-2020 01:17 PM,finsummary_606203.pdf (853.14 KB),1.0,1513327.0,M/S RAGHAV CONSTRUCTIONS,"30,07,713.79",L1,Technical,UNDER TECHNICAL EVALUATION,Parveen Salonia,02-Jan-2020 01:13 PM,technical_606203.pdf,GM_FINANCE,Internal,SM_1 SM_8,Naveen Kumar Jain,28-Jan-2020 05:42 PM,29-Jan-2020 11:00 AM,techsummary_606203.pdf (206.42 KB),,,
,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1513327.0,M/S RAGHAV CONSTRUCTIONS,30-Dec-2019 04:26 PM,Accepted-AOC,L1,20-Feb-2020 01:21 PM,,,,,,,,,,,,,2.0,1524495.0,Urmi Enterprises,"34,47,132.46",L4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,PF,ESI,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERT.,AUTHORITY LETTER,ETC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,PF,ESI,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERT.,AUTHORITY LETTER,ETC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1525493.0,S S CHAUHAN CONSTRUCTION CO,30-Dec-2019 03:20 PM,Rejected-Finance,L3,20-Feb-2020 01:17 PM,,,,,,,,,,,,,3.0,1525354.0,M/S DEEPAK BUILDERS,"32,43,933.07",L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1524495.0,Urmi Enterprises,29-Dec-2019 08:58 PM,Rejected-Finance,L4,20-Feb-2020 01:17 PM,,,,,,,,,,,,,4.0,1525493.0,S S CHAUHAN CONSTRUCTION CO,"33,74,561.25",L3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_GNIDA_415061_5,GM/PROJECT/K/2019/73 DATED 13.12.2019,"Patch repair work at 60m and 80m wide road in Sector-10, Greater Noida"
