Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Chief Engineer Agra Zone PWD Agra UP||AGRA CIRCLE PWD AGRA||PROVINCIAL DIVISION PWD AGRA,5344/9A-PD/2019 Dated 26/12/2019,2020_CEAGR_425590_5,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical,20-Jan-2020 10:00 AM,30-Jan-2020 12:30 PM,20-Jan-2020 12:00 PM,29-Jan-2020 12:30 PM,NA ,NA ,20-Jan-2020 12:00 PM,29-Jan-2020 12:30 PM,08-Feb-2020 05:00 PM,"2,50,000",No,fixed,,Executive Engineer pd pwd,Agra,1.0,Date,Date,,1.0,SBI Bank,836.0,Executive Engineer pd pwd,Agra,No,Executive Engineer,Executive Engineer pd pwd agra,Construction of CC Road in Kiraoli Kagarol Road Km-9 to Narol Bah Bagha Road Km-3 and 4.,Construction of CC Road in Kiraoli Kagarol Road Km-9 to Narol Bah Bagha Road Km-3 and 4.,Please refer Tender documents. ,NA ,"25,00,000",Civil Works,NA ,Tender,90.0,30.0,Agra,282001.0,NA ,NA ,NA ,pd pwd agra,No ,No,Chief Engineer Agra Zone PWD Agra UP||AGRA CIRCLE PWD AGRA||PROVINCIAL DIVISION PWD AGRA,5344/9A-PD/2019 Dated 26/12/2019,2020_CEAGR_425590_5,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical,20-Jan-2020 10:00 AM,30-Jan-2020 12:30 PM,20-Jan-2020 12:00 PM,29-Jan-2020 12:30 PM,NA ,NA ,20-Jan-2020 12:00 PM,29-Jan-2020 12:30 PM,08-Feb-2020 05:00 PM,"2,50,000",No,fixed,,Executive Engineer pd pwd,Agra,1.0,Date,Date,,1.0,SBI Bank,836.0,Executive Engineer pd pwd,Agra,No,Executive Engineer,Executive Engineer pd pwd agra,Construction of CC Road in Kiraoli Kagarol Road Km-9 to Narol Bah Bagha Road Km-3 and 4.,Construction of CC Road in Kiraoli Kagarol Road Km-9 to Narol Bah Bagha Road Km-3 and 4.,Please refer Tender documents. ,NA ,"25,00,000",Civil Works,NA ,Tender,90.0,30.0,Agra,282001.0,NA ,NA ,NA ,pd pwd agra,No ,No,06-Mar-2020,"INR 1,822,892",30.0,Govind Sagar Verma,06-Mar-2020 02:17 PM,NarolBah.pdf (116.00 KB),AOC,1.0,1569253.0,CHHAIL BIHARI,INR,"1,800,709.35",1.0,1569253.0,CHHAIL BIHARI,29-Jan-2020 10:15 AM,Accepted-AOC,1st Lowest,06-Mar-2020 02:18 PM,Finance,summary upload,Govind Sagar Verma,08-Feb-2020 06:17 PM,None,BOQ Comparative Chart,SE Yogesh Panwar,Internal,EE GS Verma EE Naresh Kumar,Govind Sagar Verma,06-Mar-2020 02:07 PM,finsummary_623178.pdf (47.65 KB),1.0,1560672.0,NARWAR CONSTRACTION,"24,22,720.78",L5,Technical,summary upload,Govind Sagar Verma,30-Jan-2020 01:54 PM,None,SE Yogesh Panwar,Internal,EE GS Verma EE Naresh Kumar,Govind Sagar Verma,08-Feb-2020 04:19 PM,08-Feb-2020 05:00 PM,techsummary_623178.pdf (327.88 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1566438.0,M/s Chaudhary Construction,24-Jan-2020 11:26 PM,Rejected-Finance,3rd Lowest,06-Mar-2020 02:07 PM,,,,,,,,,,,,,2.0,1566438.0,M/s Chaudhary Construction,"18,88,984.32",L3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1568599.0,M/S SUNIL KUMAR JAIN,26-Jan-2020 05:24 PM,Rejected-Finance,2nd Lowest,06-Mar-2020 02:07 PM,,,,,,,,,,,,,3.0,1568557.0,S D CONSTRACTION,"19,92,288.15",L4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1560672.0,NARWAR CONSTRACTION,29-Jan-2020 12:41 AM,Rejected-Finance,5th Lowest,06-Mar-2020 02:07 PM,,,,,,,,,,,,,4.0,1568599.0,M/S SUNIL KUMAR JAIN,"18,61,928.56",L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1568557.0,S D CONSTRACTION,26-Jan-2020 04:51 PM,Rejected-Finance,4th Lowest,06-Mar-2020 02:07 PM,,,,,,,,,,,,,5.0,1569253.0,CHHAIL BIHARI,"18,00,709.35",L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_CEAGR_425590_5,5344/9A-PD/2019 Dated 26/12/2019,Construction of CC Road in Kiraoli Kagarol Road Km-9 to Narol Bah Bagha Road Km-3 and 4.
