Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Cheif Engineer Bareilly Zone PWD Bareilly||SE BADAUN-PILIBHIT CIRCLE PWD BAREILLY||EE PROVINCIAL DIVISION PWD BADAUN,853/7Nivida-08/20Dt05.02.20,2020_CEBLY_432240_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,07-Feb-2020 04:40 PM,17-Feb-2020 03:00 PM,10-Feb-2020 09:00 AM,17-Feb-2020 12:00 PM,NA ,NA ,10-Feb-2020 09:00 AM,17-Feb-2020 12:00 PM,25-Feb-2020 05:05 PM,"5,00,000",Yes,fixed,,SE BDN PBT Circle PWD Bareilly,Bareilly,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,"2,714",EE PD PWD Budaun,Budaun,No,SE BDN PBT Circle PWD Bareilly,Office of the SE BDN PBT Circle PWD Bareilly,SR Work in MF road Km 110 to Budhwai Mallahpur Karoliya Kisarua BM road in Distt. Budaun,Refer tender document,Please refer Tender documents. ,NA ,"60,00,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Budaun,243601.0,Office of the SE BDN PBT Circle PWD Bareilly ,Office of the SE BDN PBT Circle PWD Bareilly ,11-Feb-2020 12:00 PM ,Office of the SE BDN PBT Circle PWD Bareilly,No ,No,Cheif Engineer Bareilly Zone PWD Bareilly||SE BADAUN-PILIBHIT CIRCLE PWD BAREILLY||EE PROVINCIAL DIVISION PWD BADAUN,853/7Nivida-08/20Dt05.02.20,2020_CEBLY_432240_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,07-Feb-2020 04:40 PM,17-Feb-2020 03:00 PM,10-Feb-2020 09:00 AM,17-Feb-2020 12:00 PM,NA ,NA ,10-Feb-2020 09:00 AM,17-Feb-2020 12:00 PM,25-Feb-2020 05:05 PM,"5,00,000",Yes,fixed,,SE BDN PBT Circle PWD Bareilly,Bareilly,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,"2,714",EE PD PWD Budaun,Budaun,No,SE BDN PBT Circle PWD Bareilly,Office of the SE BDN PBT Circle PWD Bareilly,SR Work in MF road Km 110 to Budhwai Mallahpur Karoliya Kisarua BM road in Distt. Budaun,Refer tender document,Please refer Tender documents. ,NA ,"60,00,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Budaun,243601.0,Office of the SE BDN PBT Circle PWD Bareilly ,Office of the SE BDN PBT Circle PWD Bareilly ,11-Feb-2020 12:00 PM ,Office of the SE BDN PBT Circle PWD Bareilly,No ,No,21-Mar-2020,"INR 5,999,254.7",60.0,Naresh Kumar,21-Mar-2020 01:22 PM,Budhwai.pdf (134.00 KB),ok,1.0,1598475.0,M/S SMT. VIJAY SINGH THEKEDAR,INR,"5,983,056.71",1.0,1600575.0,M/s Shree Sai Constructions,16-Feb-2020 06:28 PM,Rejected-Finance,high rate,20-Mar-2020 09:45 AM,Finance,ok,Naresh Kumar,25-Feb-2020 05:26 PM,None,BOQ Comparative Chart,ER. HEMANT SINGH,Internal,ER. AMAR SINGH,Naresh Kumar,20-Mar-2020 09:45 AM,finsummary_634712.pdf (24.82 KB),1.0,1598475.0,M/S SMT. VIJAY SINGH THEKEDAR,"59,83,056.71",L1,Technical,ok,Naresh Kumar,25-Feb-2020 04:37 PM,technical_634712.pdf,Er. Hemant Singh,Internal,Er. Amar Singh,Naresh Kumar,25-Feb-2020 05:01 PM,25-Feb-2020 05:05 PM,techsummary_634712.pdf (24.25 KB),,,
,,,,,,,,,,,,,,,,.pdf,T2,,,,,,,,,,,,,,,,2.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T2,,,,,,,,,,,,,,,,2.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1598475.0,M/S SMT. VIJAY SINGH THEKEDAR,16-Feb-2020 06:11 PM,Accepted-AOC,ok,21-Mar-2020 01:22 PM,,,,,,,,,,,,,2.0,1600575.0,M/s Shree Sai Constructions,"59,99,254.70",L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Experience/ mfg. capacity ,Quality of recent/past Supplied Items ,Quality of recent/past Supplied Items ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Experience/ mfg. capacity ,Quality of recent/past Supplied Items ,Quality of recent/past Supplied Items ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Financial Details ,Certificates from Bankers ,Certificates from Bankers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Financial Details ,Certificates from Bankers ,Certificates from Bankers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Machinery Details ,Machinery Details ,Machinery Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Machinery Details ,Machinery Details ,Machinery Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
