class,age,male,female
0,0 to 1,5211.71,4394.79
1,1 to 5,19969.39,16810.07
10,10 to 15,28058.47,23029.94
15,15 to 20,28316.84,22520.66
20,20 to 25,23674.64,18213.27
25,25 to 30,18710.87,15496.42
30,30 to 35,16968.7,15344.94
35,35 to 40,15931.24,14264.99
40,40 to 45,13788.73,12060.57
45,45 to 50,11146.9,10506.51
5,5 to 10,26181.41,21541.2
50,50 to 55,10102.83,9061.62
55,55 to 60,8124.84,8411.93
60,60 to 65,7316.08,6768.61
65,65 to 70,4919.17,5175
70,70 to 75,3515.53,3694.54
75,75 to 80,1958.66,2281.11
80,80 and over,2049.95,2507.54
