object_id,sum_population
09-133-00711,575802.375
09-201-01009,368200.03125
09-165-00852,318282.71875
09-180-00922,959350.5
09-178-00909,651696.9375
09-192-00972,491835.9375
09-158-00823,552834.875
09-138-00733,695989.0
09-166-00859,445482.28125
09-168-00867,357386.3125
09-192-00973,921073.375
09-171-00876,362206.28125
09-145-00764,1633395.75
09-145-00762,559781.375
09-145-00763,173846.46875
09-199-01002,293795.5
09-183-00931,738493.8125
09-174-00886,715029.6875
09-157-00819,458540.53125
09-148-00775,836617.4375
09-169-00870,501316.25
09-180-00920,720623.5625
09-187-00947,1389774.25
09-194-00985,856717.0
09-186-00941,597075.25
09-195-00987,702166.25
09-184-00935,627355.125
09-201-01008,1138686.375
09-200-01006,794900.75
09-184-00936,654454.6875
09-142-00749,556844.4375
09-153-00802,708324.9375
09-137-00729,596475.125
09-134-00715,1294614.5
09-177-00905,893079.125
09-163-00844,320443.40625
09-149-00783,799524.9375
09-158-00827,336829.1875
09-141-00742,1851095.875
09-183-00929,1081339.625
09-199-01003,882033.125
09-160-00833,934179.125
09-145-00761,696874.625
09-190-00959,1370357.375
09-179-00916,498693.75
09-150-00789,572287.0
09-172-00878,1278752.125
09-189-00956,1100441.125
09-137-00731,688578.25
09-156-00815,866910.3125
09-185-00938,1038708.1875
09-155-00811,1454198.125
09-168-00864,441024.0625
09-176-00901,739448.125
09-176-00896,684451.4375
09-175-00893,1085074.375
09-164-00850,626782.75
09-200-01004,318717.40625
09-186-00943,573612.9375
09-195-00989,981021.625
09-141-00743,457169.125
09-706-00913,488410.90625
09-166-00857,261965.984375
09-198-00998,759630.8125
09-173-00884,389221.1875
