Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"C/o Service road of 100m wide road Between Sector - 20 and 21 (Film City side), YEIDA, YEA (I/C 05 year maintenance). WC-02","C/o Service road of 100m wide road Between Sector - 20 and 21 (Film City side), YEIDA, YEA (I/C 05 year maintenance). WC-02",Please refer Tender documents. ,NA ,"4,06,37,759",Civil Works,NA ,Tender,90.0,365.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"8,12,800",No,fixed,,Nil,Nil,1.0,SBI Bank,"5,840",Nil,Nil,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2026/463 DT-29/01/2026,2026_YEIDA_1111842_18,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",04-Feb-2026 06:55 PM,18-Feb-2026 11:00 AM,04-Feb-2026 06:55 PM,17-Feb-2026 05:00 PM,NA ,NA ,04-Feb-2026 06:55 PM,17-Feb-2026 05:00 PM,26-Feb-2026 03:00 PM,AOC,1,5887332,DYNASTY PROMOTERS PRIVATE LIMITED,17-Feb-2026 04:52 PM,Rejected-Finance,L4,11-Mar-2026 11:26 AM,Yamuna Expressway Industrial Development Authority,2026_YEIDA_1111842_18,YEA/GM(PROJECT)/2026/463 DT-29/01/2026,"C/o Service road of 100m wide road Between Sector - 20 and 21 (Film City side), YEIDA, YEA (I/C 05 year maintenance). WC-02",1.0,5886561.0,K K ENGINEERS AND PROMOTORS PRIVATE LIMITED,INR,"28,214,796.27",Finance,UNDER EVALUATION,BHARAM PAL SINGH,11-Mar-2026 11:21 AM,,BOQ Comparative Chart,Committee,Internal,Committee,BHARAM PAL SINGH,11-Mar-2026 11:26 AM,finsummary_2057048.pdf (110.27 KB),Technical,UNDER EVALUATION,VIKAS KUMAR,26-Feb-2026 02:29 PM,,06-May-2026,"INR 28,214,796.27",365.0,RAJENDRA SINGH BHATI,06-May-2026 10:48 AM,463_18.pdf (778.00 KB),AOC,Committee,Internal,Committee,VIKAS KUMAR,26-Feb-2026 02:52 PM,26-Feb-2026 03:00 PM,techsummary_2057048.pdf (681.30 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,AOC,2,5886561,K K ENGINEERS AND PROMOTORS PRIVATE LIMITED,17-Feb-2026 03:13 PM,Accepted-AOC,L1,06-May-2026 10:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,AOC,3,5886116,M/S PRAVEEN KUMAR JAIN,17-Feb-2026 02:12 PM,Rejected-Finance,L2,11-Mar-2026 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,AOC,4,5869722,M/s PULKIT KUMAR BUILDERS,14-Feb-2026 12:03 PM,Rejected-Finance,L3,11-Mar-2026 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,AOC,5,5877377,SHRI HARI BUILDERS,17-Feb-2026 03:52 PM,Rejected-Finance,L3,11-Mar-2026 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
