Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANNAUJ,2026_REDUP_1134213_2,907/RED/ETender/2025-26,Construction of C.C. Road from Suman Sharma house to Sri Ram Narayan Batham house via Sri Yogendra Shakya house at Bahadur Maghigava block Saurikh,1.0,6052510.0,M/S BHARTIYA CONSTRUCTION,INR,"1,609,213",1,6052510,M/S BHARTIYA CONSTRUCTION,16-Apr-2026 08:48 PM,Accepted-AOC,low rate bid accepted,30-May-2026 06:09 PM,30-May-2026,"INR 1,609,213",90.0,Alok Kumar Srivastava,30-May-2026 06:09 PM,suman.pdf (774.00 KB),Sri Alok Kumar Srivastava E.E.,Internal,1. Sri Abhishek Kumar A.E. 2- Sri Ankur Kumar DAO,Alok Kumar Srivastava,30-May-2026 06:03 PM,finsummary_2117363.pdf (347.14 KB),Technical,summary,Alok Kumar Srivastava,12-May-2026 06:54 PM,technical_2117363.pdf,Sri Alok Kumar Srivastava E.E.,Internal,1- Sri Abhishek Kumar A.E. 2- Sri Ankur Kumar DAO,Alok Kumar Srivastava,12-May-2026 06:57 PM,13-May-2026 04:00 PM,techsummary_2117363.pdf (347.14 KB),Finance,summary,Alok Kumar Srivastava,29-May-2026 03:25 PM,,BOQ Comparative Chart,AOC,Executive Engineer R.E.D. Kannauj,Office Executive Engineer R.E.D. S-6 IInd Floor Vikas Bhawan Kannauj,1,Fee/PreQual/Technical,.pdf,Technical,"39,500",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANNAUJ,907/RED/ETender/2025-26,2026_REDUP_1134213_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,860.0,Nil,Nil,No,08-Apr-2026 10:00 AM,18-Apr-2026 02:00 PM,08-Apr-2026 10:15 AM,17-Apr-2026 12:00 PM,NA ,NA ,08-Apr-2026 10:30 AM,17-Apr-2026 12:00 PM,13-May-2026 04:00 PM,Construction of C.C. Road from Suman Sharma house to Sri Ram Narayan Batham house via Sri Yogendra Shakya house at Bahadur Maghigava block Saurikh,Construction of C.C. Road from Suman Sharma house to Sri Ram Narayan Batham house via Sri Yogendra Shakya house at Bahadur Maghigava block Saurikh,Please refer Tender documents. ,NA ,"19,55,000",Civil Works,NA ,Tender,90.0,90.0,Vikas Bhawan Kannauj,209727.0,NA ,NA ,NA ,Office Vikas Bhawan Kannauj,No ,No,AOC
,,,,,,,,,2,6052539,SAI INFRATECH,16-Apr-2026 08:27 PM,Rejected-Finance,High Rate Bid Rejected,30-May-2026 06:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
