EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"42,800",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BAREILLY,2324/16/EE/RED/2025-26 DATE 12-11-2025,2026_REDUP_1110734_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,30-Jan-2026 10:00 AM,28-Feb-2026 12:30 PM,30-Jan-2026 10:00 AM,28-Feb-2026 12:00 PM,NA ,NA ,30-Jan-2026 10:00 AM,28-Feb-2026 12:00 PM,16-Mar-2026 11:00 AM,1,Fee/PreQual/Technical,.pdf,pdf,Construction of the Pandit Deendayal Upadhyay Memorial Gate on NH 30 near village Rajau. (M.L.A-Faridpur),Construction of the Pandit Deendayal Upadhyay Memorial Gate on NH 30 near village Rajau. (M.L.A-Faridpur),Please refer Tender documents. ,NA ,"21,39,000",Civil Works,NA ,Tender,90.0,90.0,FAREEDPUR,243001.0,NA ,NA ,NA ,EE RED SECOND FLOOR VIKAS BHAWAN BAREILLY,No ,No,1.0,SBI Bank,EXECUTIVE ENGINEER,EE RED SECOND FLOOR VIKAS BHAWAN BAREILLY,AOC,Finance,Attach,Vinay Kumar Sharma,25-Mar-2026 01:27 PM,finance_2051402.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,DAO AND AE,Vinay Kumar Sharma,11-Mar-2026 02:48 PM,16-Mar-2026 11:00 AM,techsummary_2051402.pdf (471.56 KB),Technical,Attach,Vinay Kumar Sharma,11-Mar-2026 02:44 PM,technical_2051402.pdf,EXECUTIVE ENGINEER,Internal,DAO AND AE,Vinay Kumar Sharma,25-Mar-2026 01:34 PM,finsummary_2051402.pdf (471.56 KB),25-Mar-2026,"INR 2,131,568",90.0,Vinay Kumar Sharma,02-May-2026 03:36 PM,AOCB.pdf (577.00 KB),Construction of the Pandit Deendayal Upadhyay Memorial Gate on NH 30 near village Rajau. (M.L.A-Faridpur),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BAREILLY,2026_REDUP_1110734_1,2324/16/EE/RED/2025-26 DATE 12-11-2025,Construction of the Pandit Deendayal Upadhyay Memorial Gate on NH 30 near village Rajau. (M.L.A-Faridpur),1.0,5930525.0,M/S ANNESH CONTRACTOR,INR,"2,131,568",1,5930525,M/S ANNESH CONTRACTOR,25-Feb-2026 07:41 PM,Accepted-AOC,L1,02-May-2026 03:36 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5930562,M/S GUPTA PIPE STORE,25-Feb-2026 07:55 PM,Rejected-Finance,L2,25-Mar-2026 01:34 PM,AOC
