Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
RAKESH KUMAR,Internal,RAKESH KUMAR,RAKESH KUMAR,08-Apr-2026 03:35 PM,08-Apr-2026 04:00 PM,techsummary_2106967.pdf (113.30 KB),Technical,TECNICAL,RAKESH KUMAR,08-Apr-2026 01:46 PM,technical_2106967.pdf,21-May-2026,"INR 101,120",30.0,RAKESH KUMAR,21-May-2026 11:29 AM,32.pdf (742.00 KB),"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||LGC, etawah",2026_UPIDC_1129451_32,02/EE/Acction/2025-26,Silt Auction from Left bank of Bansak DY. From Km. 33.700 to 34.300 for F.Y. 2025-26,1,6016273,RAJ INTERPRISES,28-Mar-2026 02:11 PM,Accepted-AOC,C,21-May-2026 11:29 AM,1.0,6016273.0,RAJ INTERPRISES,INR,"101,120",Finance,All Admitted,RAKESH KUMAR,20-May-2026 05:56 PM,,BOQ Comparative Chart,Rakesh Kumar,Internal,,RAKESH KUMAR,21-May-2026 11:28 AM,finsummary_2106967.pdf (113.30 KB),AOC,Executive Engineer,Executive Engineer Etawah Division Lower Ganga Canal Etawah,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||LGC, etawah",02/EE/Acction/2025-26,2026_UPIDC_1129451_32,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,590.0,Nil,Nil,No,25-Mar-2026 11:00 AM,30-Mar-2026 01:00 PM,25-Mar-2026 11:00 AM,30-Mar-2026 12:00 PM,NA ,NA ,25-Mar-2026 11:00 AM,30-Mar-2026 12:00 PM,08-Apr-2026 04:00 PM,1,Fee/PreQual/Technical,.pdf,Docment,"4,000",No,fixed,,Nil,Nil,Silt Auction from Left bank of Bansak DY. From Km. 33.700 to 34.300 for F.Y. 2025-26,Silt Auction from Left bank of Bansak DY. From Km. 33.700 to 34.300 for F.Y. 2025-26,Please refer Tender documents. ,NA ,"28,000",Civil Works - Canal,NA ,Tender,90.0,30.0,Etawah,206001.0,NA ,NA ,NA ,Etawah,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6018858,RAKSHAPAL SINGH,29-Mar-2026 04:30 PM,Rejected-Finance,C,21-May-2026 11:28 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
