Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,1017/RED/Tender-BVN(J) Jhansi/2025-26 Dt. 11.02.2026,2026_REDUP_1129610_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,1.0,SBI Bank,Anand Vihar Shivpuri Road Jhansi main Santosh Verma ji ke makan se Ravi Verma ke makan tak sadak abam nali ka nirman karya.,Anand Vihar Shivpuri Road Jhansi main Santosh Verma ji ke makan se Ravi Verma ke makan tak sadak abam nali ka nirman karya.,Please refer Tender documents. ,NA ,"38,34,000",Civil Works,NA ,Tender,90.0,120.0,Anand Vihar Shivpuri Road Jhansi main Santosh Verm,284003.0,NA ,NA ,NA ,SE RED Circle Jhansi,No ,No,1,Fee/PreQual/Technical,.pdf,sbd,24-Mar-2026 02:00 PM,20-Apr-2026 03:30 PM,24-Mar-2026 02:00 PM,20-Apr-2026 03:00 PM,NA ,NA ,24-Mar-2026 02:00 PM,20-Apr-2026 03:00 PM,08-May-2026 12:30 PM,SE RED Circle Jhansi,SE RED Circle Jhansi,"77,000",Yes,fixed,,Nil,Nil,AOC,Technical,final,RAJNEESH KUMAR,02-May-2026 05:54 PM,technical_2107120.pdf,Rajneesh Kumar,Internal,SE JHANSI EE JHANSI EE JALAUN DAO,RAJNEESH KUMAR,25-May-2026 06:03 PM,finsummary_2107120.pdf (352.29 KB),Finance,FINAL,RAJNEESH KUMAR,25-May-2026 05:59 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,SE EE DAO,RAJNEESH KUMAR,02-May-2026 05:57 PM,08-May-2026 12:30 PM,techsummary_2107120.pdf (424.10 KB),25-May-2026,"INR 3,795,050.76",120.0,RAJNEESH KUMAR,25-May-2026 06:05 PM,Anandviharshivpuri.pdf (352.00 KB),FINAL,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1129610_2,1017/RED/Tender-BVN(J) Jhansi/2025-26 Dt. 11.02.2026,Anand Vihar Shivpuri Road Jhansi main Santosh Verma ji ke makan se Ravi Verma ke makan tak sadak abam nali ka nirman karya.,1.0,6054110.0,SAMRIDDHI CONSTRUCTION & SUPPLIER,INR,"3,795,050.76",1,6049917,RAJKUMAR GOSWAMI THEKEDAR,17-Apr-2026 05:47 PM,Rejected-Finance,N,25-May-2026 06:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6054110,SAMRIDDHI CONSTRUCTION & SUPPLIER,17-Apr-2026 03:29 PM,Accepted-AOC,Y,25-May-2026 06:05 PM,AOC
