Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1132291_1,3274/EE/RED/GKP/25-26 Date 10-03-26,Block-Piprauli Gram Sarya mein Pitch Road se Yogendra Gupta ke Makan Tak CC Road Ka Nirman Karya,1.0,6049095.0,M/S MAA AMBEY ASSOCIATES,INR,"1,283,893",1,6049095,M/S MAA AMBEY ASSOCIATES,15-Apr-2026 05:24 PM,Accepted-AOC,L1,21-May-2026 02:01 PM,14-May-2026,"INR 1,283,893",90.0,Abhishek Rai,21-May-2026 02:01 PM,bpdf.pdf (153.00 KB),Executive Engineer,Internal,,Abhishek Rai,24-Apr-2026 03:37 PM,finsummary_2113187.pdf (152.96 KB),Technical,Opend,Suresh Kumar Jaiswal,20-Apr-2026 02:53 PM,,Executive Engineer,Internal,,Suresh Kumar Jaiswal,23-Apr-2026 04:51 PM,23-Apr-2026 04:55 PM,techsummary_2113187.pdf (290.20 KB),Finance,Opend,Abhishek Rai,24-Apr-2026 10:54 AM,,BOQ Comparative Chart,AOC,"25,680",No,percentage,2.0%,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,3274/EE/RED/GKP/25-26 Date 10-03-26,2026_REDUP_1132291_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Block-Piprauli Gram Sarya mein Pitch Road se Yogendra Gupta ke Makan Tak CC Road Ka Nirman Karya,Block-Piprauli Gram Sarya mein Pitch Road se Yogendra Gupta ke Makan Tak CC Road Ka Nirman Karya,Please refer Tender documents. ,NA ,"12,84,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikash Bhawan,No ,No,Executive Engineer,Vikash Bhawan,07-Apr-2026 09:00 AM,17-Apr-2026 09:00 AM,07-Apr-2026 09:00 AM,16-Apr-2026 12:00 PM,NA ,NA ,07-Apr-2026 09:00 AM,16-Apr-2026 12:00 PM,23-Apr-2026 04:55 PM,812.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical Evaluation,1.0,SBI Bank,AOC
,,,,,,,,,2,6049984,SIVI K.R. ENTERPRISES,15-Apr-2026 07:24 PM,Rejected-AOC,L2,21-May-2026 02:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Evaluation,,,AOC
