Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
16-Feb-2026 10:00 AM,25-Feb-2026 12:30 PM,16-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,NA ,NA ,16-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,12-Mar-2026 05:00 PM,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.",1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,795.0,Nil,Nil,No,"8,000",No,fixed,,Nil,Nil,Clearance of Baida Drain-2 from KM 0.000 to KM 3.000 in District Basti,Clearance of Baida Drain-2 from KM 0.000 to KM 3.000 in District Basti,Please refer Tender documents. ,NA ,"3,90,000",Civil Works,NA ,Rate Contract,90.0,15.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,1.0,Corrigendum,Date,,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",07/EE/2025-26,2026_UPIDC_1115970_28,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2026_UPIDC_1115970_28,07/EE/2025-26,Clearance of Baida Drain-2 from KM 0.000 to KM 3.000 in District Basti,1,5925071,GARIMA INFRASTRUCTURE,25-Feb-2026 10:59 AM,Accepted-AOC,AS PER UPLOAD,18-May-2026 01:10 PM,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,28-Mar-2026 10:29 PM,finsummary_2071549.pdf (34.60 KB),Finance,AS PER UPLOAD,Dinesh Mohan,26-Mar-2026 08:16 PM,,BOQ Comparative Chart,1.0,5925071.0,GARIMA INFRASTRUCTURE,INR,"141,816",Technical,AS PER UPLOAD,Dinesh Mohan,11-Mar-2026 04:46 PM,,18-May-2026,"INR 141,816",15.0,Dinesh Mohan,18-May-2026 01:10 PM,28.pdf (140.00 KB),AOC,Dinesh Mohan,Internal,VISHWANATH SHUKLA,Dinesh Mohan,11-Mar-2026 07:31 PM,12-Mar-2026 05:00 PM,techsummary_2071549.pdf (211.74 KB),AOC
,,,,,,,,,,,2.0,Finance,.xls,AS PER UPLOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5903155,Mohammad Abdulla,21-Feb-2026 11:32 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 10:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,5902927,M/S BHAGWATI TRADERS,20-Feb-2026 06:15 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 10:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,5927593,M/S CHANDRA CONSTRUCTION,25-Feb-2026 09:51 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 10:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,5928628,M/S OM SAI TRADERS,25-Feb-2026 11:50 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 10:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,5923406,M/S RAM SHANKAR YADAV CONSTRUCTION CO.,24-Feb-2026 12:26 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 10:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,5902485,M/S UMA SHANKAR YADAV,24-Feb-2026 08:55 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 10:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,5901590,OM JI SINGH CONTRACTOR,24-Feb-2026 02:22 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 10:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,5926072,SARWAN KUMAR SRIVASTAVA,24-Feb-2026 08:47 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 10:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,5901620,SHIV SHKTI CONSTRUCTION,20-Feb-2026 02:53 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 10:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
