Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Maintenance and Repairing of boundary Wall LDA side Type-IV block no.7 to 9 at New Parikalp Vihar Colony, Telibagh, Lucknow. (Lot No.06)","Maintenance and Repairing of boundary Wall LDA side Type-IV block no.7 to 9 at New Parikalp Vihar Colony, Telibagh, Lucknow. (Lot No.06)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,15.0,new Parikalp Vihar colony,226002.0,NA ,NA ,NA ,canal Colony,No ,No,Assistant Engineer IV,LDSC Lucknow,1.0,SBI Bank,"3,360",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,27-Jan-2026 12:00 PM,02-Feb-2026 03:00 PM,27-Jan-2026 12:00 PM,02-Feb-2026 12:00 PM,27-Jan-2026 12:00 PM ,02-Feb-2026 12:00 PM ,27-Jan-2026 12:00 PM,02-Feb-2026 12:00 PM,09-Feb-2026 10:00 AM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",08/AEIV/2025-26,2026_UPIDC_1109456_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,AOC,Technical,Summary,deena nath maurya,06-Feb-2026 12:04 PM,technical_2048738.pdf,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,11-Feb-2026 01:20 PM,finsummary_2048738.pdf (1096.96 KB),Finance,Boq Summary,deena nath maurya,09-Feb-2026 11:41 AM,finance_2048738.pdf,BOQ Comparative Chart,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,06-Feb-2026 01:33 PM,09-Feb-2026 10:00 AM,techsummary_2048738.pdf (1096.96 KB),17-Feb-2026,"INR 163,012.42",15.0,deena nath maurya,13-May-2026 11:47 AM,agno405.pdf (636.00 KB),AOC,1,5834683,M/S M. K. CONSTRUCTION,31-Jan-2026 10:49 PM,Rejected-AOC,L2,13-May-2026 11:47 AM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2026_UPIDC_1109456_6,08/AEIV/2025-26,"Maintenance and Repairing of boundary Wall LDA side Type-IV block no.7 to 9 at New Parikalp Vihar Colony, Telibagh, Lucknow. (Lot No.06)",1.0,5834868.0,URMILA DEVI,INR,"163,012.42",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5834868,URMILA DEVI,01-Feb-2026 12:10 AM,Accepted-AOC,L1,13-May-2026 11:47 AM,,,,,,,,,,AOC
