Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Technical,opend,Suresh Kumar Jaiswal,10-Feb-2026 02:07 PM,,20-May-2026,"INR 2,074,933",90.0,Abhishek Rai,21-May-2026 04:56 PM,bpdf.pdf (153.00 KB),Executive Engineer,Internal,,Suresh Kumar Jaiswal,15-Feb-2026 01:21 PM,15-Feb-2026 01:30 PM,techsummary_2052400.pdf (218.32 KB),1,5852807,B N CONSTRUCTIONS,08-Feb-2026 03:28 PM,Accepted-AOC,L1,21-May-2026 04:57 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1110912_14,2592/EE/RED/GKP/25-26 Date 07/01/26,Block-Brahmpur mein Gram Panchayat Mahuakol mein Mandir se Kali Sthan Tak CC Road Ka Nirman,1.0,5852807.0,B N CONSTRUCTIONS,INR,"2,074,933",Finance,Opend,Suresh Kumar Jaiswal,16-Feb-2026 12:46 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Suresh Kumar Jaiswal,17-Feb-2026 11:02 AM,finsummary_2052400.pdf (153.00 KB),AOC,896.0,Nil,Nil,No,03-Feb-2026 09:00 AM,10-Feb-2026 09:00 AM,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,NA ,NA ,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,15-Feb-2026 01:30 PM,Block-Brahmpur mein Gram Panchayat Mahuakol mein Mandir se Kali Sthan Tak CC Road Ka Nirman,Block-Brahmpur mein Gram Panchayat Mahuakol mein Mandir se Kali Sthan Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"20,75,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikash Bhawan,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2592/EE/RED/GKP/25-26 Date 07/01/26,2026_REDUP_1110912_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"41,500",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,Executive Engineer,Vikash Bhawan,1,Fee/PreQual/Technical,.pdf,Technical Evaluation,AOC
,,,,,,,,,,,,,,,,,,2,5853254,LAXMI SHAKTI CONSTRUCTION,08-Feb-2026 05:12 PM,Rejected-AOC,L2,21-May-2026 04:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Evaluation,AOC
