Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1135403_1,1533/SE RED Gorakhpur/Gorakhpur/25-26 Dt 11/03/2026,"Under District Gorakhpur, Construction of CC and RCC drains in Baldev Plaza and associated lanes from Ward No 42, Vijay Chowk, Khoya Mandi, Krishna Sweets, Lot No 1",1.0,6044161.0,M/S CHANDRAMOHAN UPADHYAY,INR,"15,568,323.46",1,6044161,M/S CHANDRAMOHAN UPADHYAY,14-Apr-2026 02:05 PM,Accepted-AOC,AoC,25-May-2026 03:58 PM,26-May-2026,"INR 15,568,323.46",270.0,Dileep Shukla,25-May-2026 03:58 PM,1533_1.pdf (150.00 KB),1.0,Tender Revocation,Tender Revocation,21-Apr-2026 10:34 AM,1533.pdf ,137.5,Technical Opening,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,25-May-2026 03:54 PM,finsummary_2119834.pdf (149.55 KB),Technical,Summary,Dileep Shukla,21-Apr-2026 10:42 AM,,Er Isham Singh CE RED East,Internal,"Er Isham Singh CE RED East , Er D K Shukla SE RED GORAKHPUR CIRCLE, Er Vivek Priya EE RED Gorakhpur, Er P K Bharti EE RED Maharajganj, Mr Katyayani Prasad DAO RED Gorakhpur",Dileep Shukla,26-Apr-2026 05:26 PM,30-Apr-2026 12:00 PM,techsummary_2119834.pdf (240.92 KB),Finance,Summary,Dileep Shukla,30-Apr-2026 01:54 PM,,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,"2,86,260",No,percentage,2.0%,Nil,Nil,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur","Under District Gorakhpur, Construction of CC and RCC drains in Baldev Plaza and associated lanes from Ward No 42, Vijay Chowk, Khoya Mandi, Krishna Sweets, Lot No 1","Under District Gorakhpur, Construction of CC and RCC drains in Baldev Plaza and associated lanes from Ward No 42, Vijay Chowk, Khoya Mandi, Krishna Sweets, Lot No 1",Please refer Tender documents. ,NA ,"1,43,13,000",Civil Works,NA ,Tender,90.0,270.0,Gorakhpur,273001.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur  ",13-Apr-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,"2,714",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,1533/SE RED Gorakhpur/Gorakhpur/25-26 Dt 11/03/2026,2026_REDUP_1135403_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,10-Apr-2026 10:00 AM,16-Apr-2026 12:30 PM,10-Apr-2026 10:00 AM,15-Apr-2026 12:00 PM,NA ,NA ,10-Apr-2026 10:00 AM,15-Apr-2026 12:00 PM,30-Apr-2026 12:00 PM,AOC
,,,,,,,,,2,6047440,M/s Maa Sharda Nirman,14-Apr-2026 11:18 PM,Rejected-Finance,Rejected,25-May-2026 03:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
