S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,1658/RED/Tender/2025-26 Dated 12-02-2026,2026_REDUP_1124924_36,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Gram Vindhyachal ke Kevatan me Mnnu ke ghar se Jata ke ghar tak Sivar Aur Interloocking ka Work,Gram Vindhyachal ke Kevatan me Mnnu ke ghar se Jata ke ghar tak Sivar Aur Interloocking ka Work,Please refer Tender documents. ,NA ,"10,48,000",Civil Works,NA ,Tender,90.0,90.0,Mirzapur,231001.0,NA ,NA ,NA ,Executive Engineer RED Division Mirzapur,No ,No,944.0,Nil,Nil,No,EXECUTIVE ENGINEER,Near Jahnvi Hotel Putlighar Mirzapur,1,Fee/PreQual/Technical,.pdf,sbd,14-Mar-2026 10:00 AM,24-Mar-2026 12:30 PM,14-Mar-2026 10:00 AM,23-Mar-2026 12:00 PM,NA ,NA ,14-Mar-2026 10:00 AM,23-Mar-2026 12:00 PM,07-Apr-2026 12:00 PM,"22,000",Yes,fixed,,Nil,Nil,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,2026_REDUP_1124924_36,1658/RED/Tender/2025-26 Dated 12-02-2026,Gram Vindhyachal ke Kevatan me Mnnu ke ghar se Jata ke ghar tak Sivar Aur Interloocking ka Work,1,5990542,MAA GAYTRI CONSTRUCTION,20-Mar-2026 01:48 PM,Accepted-AOC,AOC,16-May-2026 03:52 PM,Finance,finan,Lalita Verma,07-Apr-2026 06:30 PM,,BOQ Comparative Chart,EE,Internal,DAOAE,Vimal Kumar,14-May-2026 04:47 PM,finsummary_2097332.pdf (22.87 KB),1.0,5990542.0,MAA GAYTRI CONSTRUCTION,INR,"1,647,139",Technical,tech,Vimal Kumar,28-Mar-2026 12:32 PM,,15-May-2026,"INR 1,647,139",90.0,Vimal Kumar,16-May-2026 03:52 PM,Gaytri.pdf (683.00 KB),EE,Internal,DAOAE,Vimal Kumar,30-Mar-2026 05:07 PM,07-Apr-2026 12:00 PM,techsummary_2097332.pdf (242.24 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,AOC,,,,,2,5990368,M/S VINDHYA CONSTRUCTION,20-Mar-2026 01:36 PM,Rejected-Finance,l2,14-May-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
