Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",08/AEIV/2025-26,2026_UPIDC_1109456_18,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,1.0,SBI Bank,"3,320",No,fixed,,Nil,Nil,"Repairing of T and P Items at Ground to 4th floor of Dr. Ram Manohar Lohiya Parikalp Bhawan Telibagh, Lucknow.(Lot No.18)","Repairing of T and P Items at Ground to 4th floor of Dr. Ram Manohar Lohiya Parikalp Bhawan Telibagh, Lucknow.(Lot No.18)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,15.0,"Parikalp Bhawan Telibagh, Lucknow.",226002.0,NA ,NA ,NA ,canal Colony,No ,No,27-Jan-2026 12:00 PM,02-Feb-2026 03:00 PM,27-Jan-2026 12:00 PM,02-Feb-2026 12:00 PM,27-Jan-2026 12:00 PM ,02-Feb-2026 12:00 PM ,27-Jan-2026 12:00 PM,02-Feb-2026 12:00 PM,09-Feb-2026 10:00 AM,Assistant Engineer IV,LDSC Lucknow,AOC,1,5835314,CHANDRA SEN,01-Feb-2026 10:49 PM,Accepted-AOC,L1,08-May-2026 04:07 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2026_UPIDC_1109456_18,08/AEIV/2025-26,"Repairing of T and P Items at Ground to 4th floor of Dr. Ram Manohar Lohiya Parikalp Bhawan Telibagh, Lucknow.(Lot No.18)",D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,11-Feb-2026 02:13 PM,finsummary_2048757.pdf (1096.96 KB),Finance,Boq Summary,deena nath maurya,09-Feb-2026 12:24 PM,finance_2048757.pdf,BOQ Comparative Chart,1.0,5835314.0,CHANDRA SEN,INR,"163,880",D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,06-Feb-2026 05:12 PM,09-Feb-2026 10:00 AM,techsummary_2048757.pdf (1096.96 KB),Technical,summary,deena nath maurya,06-Feb-2026 02:04 PM,technical_2048757.pdf,17-Feb-2026,"INR 163,880",15.0,deena nath maurya,08-May-2026 04:07 PM,agno393.pdf (641.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5835331,KISHORI,01-Feb-2026 09:38 PM,Rejected-AOC,L2,08-May-2026 04:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
