Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
10-Apr-2026,"INR 1,416,593",90.0,Suresh Kumar Jaiswal,08-May-2026 12:41 PM,bpdf.pdf (153.00 KB),Technical,opend,Abhishek Rai,17-Mar-2026 01:11 PM,,Executive Engineer,Internal,,Suresh Kumar Jaiswal,19-Mar-2026 12:55 PM,19-Mar-2026 01:00 PM,techsummary_2087893.pdf (469.39 KB),Executive Engineer,Internal,,Abhishek Rai,20-Mar-2026 12:10 PM,finsummary_2087893.pdf (152.96 KB),Finance,Opend,Abhishek Rai,20-Mar-2026 10:23 AM,,BOQ Comparative Chart,1.0,5972950.0,M/S RAI ENTERPRISES,INR,"1,416,593",1,5972792,M/S ARYAN ENTERPRISES,14-Mar-2026 09:08 PM,Rejected-AOC,L2,08-May-2026 12:41 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1121779_39,2900/EE/RED/GKP/25-26 Date 07-02-26,Block-Khorar Gram Panchayat Daangipaar mein Bhabhuti Paswan ke Makan se Transformer avam Deepchand Thakur Gupta ke Makan se Harivansh Maurya ke Makan ke Aage Tak CC Road Ka Nirman karya,AOC,1.0,SBI Bank,812.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2900/EE/RED/GKP/25-26 Date 07-02-26,2026_REDUP_1121779_39,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,08-Mar-2026 09:00 AM,16-Mar-2026 09:00 AM,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,NA ,NA ,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,19-Mar-2026 01:00 PM,EXECUTIVE ENGINEER,Vikash Bhawan,Block-Khorar Gram Panchayat Daangipaar mein Bhabhuti Paswan ke Makan se Transformer avam Deepchand Thakur Gupta ke Makan se Harivansh Maurya ke Makan ke Aage Tak CC Road Ka Nirman karya,Block-Khorar Gram Panchayat Daangipaar mein Bhabhuti Paswan ke Makan se Transformer avam Deepchand Thakur Gupta ke Makan se Harivansh Maurya ke Makan ke Aage Tak CC Road Ka Nirman karya,Please refer Tender documents. ,NA ,"14,18,000",Civil Works,NA ,Tender,90.0,90.0,GORAKHPUR,273001.0,NA ,NA ,NA ,Vikash Bhawan Gorakhpur,No ,No,"28,360",No,percentage,2.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5972950,M/S RAI ENTERPRISES,14-Mar-2026 07:01 PM,Accepted-AOC,L1,08-May-2026 12:41 PM,,,,,AOC,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
