Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2592/EE/RED/GKP/25-26 Date 07/01/26,2026_REDUP_1110912_30,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical Evaluation,03-Feb-2026 09:00 AM,10-Feb-2026 09:00 AM,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,NA ,NA ,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,15-Feb-2026 01:00 PM,812.0,Nil,Nil,No,"21,540",No,percentage,2.0%,Nil,Nil,Executive Engineer,Vikash Bhawan,Block Sardar Nagar Gram Aamkol mein Shree Ram ke Ghar se Dih Baba Sthan Tak CC Road Ka Nirman,Block Sardar Nagar Gram Aamkol mein Shree Ram ke Ghar se Dih Baba Sthan Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"10,77,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikash Bhawan,No ,No,1.0,SBI Bank,AOC,Finance,Opend,Suresh Kumar Jaiswal,16-Feb-2026 01:43 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Suresh Kumar Jaiswal,17-Feb-2026 10:39 AM,finsummary_2052632.pdf (153.00 KB),1.0,5855700.0,M/S Avanish Traders,INR,"1,076,747",1,5855700,M/S Avanish Traders,09-Feb-2026 11:46 AM,Accepted-AOC,L1,08-May-2026 01:41 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1110912_30,2592/EE/RED/GKP/25-26 Date 07/01/26,Block Sardar Nagar Gram Aamkol mein Shree Ram ke Ghar se Dih Baba Sthan Tak CC Road Ka Nirman,Executive Engineer,Internal,,Suresh Kumar Jaiswal,15-Feb-2026 12:57 PM,15-Feb-2026 01:00 PM,techsummary_2052632.pdf (229.46 KB),19-Mar-2026,"INR 1,076,747",90.0,Suresh Kumar Jaiswal,08-May-2026 01:41 PM,bpdf.pdf (153.00 KB),Technical,Opend,Suresh Kumar Jaiswal,10-Feb-2026 07:50 PM,,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Financial Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5855770,M/S TIJA ENTERPRISES,09-Feb-2026 11:51 AM,Rejected-AOC,L2,08-May-2026 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
