EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"2,22,000",Yes,fixed,,Nil,Nil,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 1 (Civil) PWD Lucknow,136/Tender/2025-26 Date. 17.01.2026,2026_PWDBL_1110415_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,29-Jan-2026 12:00 PM,06-Feb-2026 12:30 PM,30-Jan-2026 12:00 PM,06-Feb-2026 12:00 PM,NA ,NA ,30-Jan-2026 12:00 PM,06-Feb-2026 12:00 PM,11-Feb-2026 02:00 PM,1.0,SBI Bank,854.0,Nil,Nil,No,Tiles and plumbing work under the renovation of bathrooms in the residences of Mali Block B-Block at Premises of Raj Bhawan Lko,Tiles and plumbing work under the renovation of bathrooms in the residences of Mali Block B-Block at Premises of Raj Bhawan Lko,Please refer Tender documents. ,NA ,"22,18,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,Lucknow,226001.0,"E.E. Maintenance Division No 1(Civil), PWD, Lko. ","OFFICE OF Executive Engineer, Maintenance Division No.-1 (Civil), PWD, Lucknow ",31-Jan-2026 12:00 PM ,"E.E. Maintenance Division No 1(Civil), PWD, Lko.",No ,No,1,Fee/PreQual/Technical,.pdf,Prahri E-1 Sheet and Technical Documents,"E.E. Maintenance Division No 1(Civil), PWD, Lko.","OFFICE OF Executive Engineer, Maintenance Division No.-1 (Civil), PWD, Lucknow",AOC,Finance,SHREE ENGINEERS. L1 MS AKASH CONSTRUCTION. L2,UMAKANT PANDEY,11-Feb-2026 04:00 PM,,BOQ Comparative Chart,"CHAKRESH KAIN, UMAKANT PANDAY, GANGESHWAR PAL",Internal,"CHAKRESH KAIN, UMAKANT PANDAY, GANGESHWAR PAL",UMAKANT PANDEY,11-Feb-2026 11:47 AM,11-Feb-2026 02:00 PM,techsummary_2050740.pdf (866.25 KB),Technical,Admitted for technical Evaluation by Prahari portal,UMAKANT PANDEY,10-Feb-2026 04:14 PM,,CHAKRESH KAIN,Internal,"CHAKRESH KAIN, UMAKANT PANDAY, GANGESHWAR PAL, DILEEP KUMAR",UMAKANT PANDEY,13-Feb-2026 04:45 PM,finsummary_2050740.pdf (20.08 KB),28-Feb-2026,"INR 1,861,056",120.0,UMAKANT PANDEY,06-May-2026 03:19 PM,AOCLETTER.pdf (2528.00 KB),Contract has been awarded after Acceptance of the bid.,1.0,5844671.0,SHREE ENGINEERS,INR,"1,861,056",Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 1 (Civil) PWD Lucknow,2026_PWDBL_1110415_3,136/Tender/2025-26 Date. 17.01.2026,Tiles and plumbing work under the renovation of bathrooms in the residences of Mali Block B-Block at Premises of Raj Bhawan Lko,1,5845110,MS AKASH CONSTRUCTION,05-Feb-2026 08:20 PM,Rejected-Finance,being high rate,13-Feb-2026 04:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5844671,SHREE ENGINEERS,05-Feb-2026 02:35 PM,Accepted-AOC,Accepted due to lowest rate,06-May-2026 03:19 PM,AOC
