Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1136339_2,29-1/E.E. BLY/E-Tender/BLY/2026-27 Dt. 13.04.2026,"Installation of Cold Water Drinking at CHC Center, Hospital in Vill. Kyoladiya, Block Nawabganj, Bareilly (Vidhayak Nidhi)",1.0,6073533.0,M/S MAHAVEER CONSTRUCTION AND GENERAL ORDER SUPPLIERS,INR,"442,315.52",1,6073533,M/S MAHAVEER CONSTRUCTION AND GENERAL ORDER SUPPLIERS,27-Apr-2026 11:30 PM,Accepted-AOC,Ist Lowest Rate,15-May-2026 12:00 PM,05-May-2026,"INR 442,315.52",60.0,Bhaskar Mishra,15-May-2026 12:00 PM,LOI1.pdf (786.00 KB),Total Contract Value Rs. 442315.52,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,05-May-2026 11:28 AM,05-May-2026 12:00 PM,techsummary_2128422.pdf (279.54 KB),Finance,Financial Bid Opening Summary,Charan Singh Arya,05-May-2026 05:09 PM,finance_2128422.pdf,BOQ Comparative Chart,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,05-May-2026 05:48 PM,finsummary_2128422.pdf (782.67 KB),Technical,Technical Bid Opening Summary,Charan Singh Arya,05-May-2026 10:50 AM,technical_2128422.pdf,AOC,21-Apr-2026 03:00 PM,28-Apr-2026 02:00 PM,21-Apr-2026 03:00 PM,28-Apr-2026 01:00 PM,NA ,NA ,21-Apr-2026 03:00 PM,28-Apr-2026 01:00 PM,05-May-2026 12:00 PM,"8,900",No,fixed,,EE UPSCIDCO,BAREILLY,"Installation of Cold Water Drinking at CHC Center, Hospital in Vill. Kyoladiya, Block Nawabganj, Bareilly (Vidhayak Nidhi)","Installation of Cold Water Drinking at CHC Center, Hospital in Vill. Kyoladiya, Block Nawabganj, Bareilly (Vidhayak Nidhi)","Installation of Cold Water Drinking at CHC Center, Hospital in Vill. Kyoladiya, Block Nawabganj, Bareilly (Vidhayak Nidhi) ",NA ,"4,42,404",Civil Works - Roads,Installation of Cold Water Drinking at CHC Center ,Tender,90.0,60.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly",1.0,RTGS - RTGS Payment,826.0,EE UPSCIDCO,BAREILLY,No,1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee, EMD and BOQ",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,29-1/E.E. BLY/E-Tender/BLY/2026-27 Dt. 13.04.2026,2026_SCIDC_1136339_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,2,6073667,Syed Construction,28-Apr-2026 01:11 AM,Rejected-AOC,IInd Lowest Rate,15-May-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,AOC
