S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Date Corrigendum,Date,,590.0,Nil,Nil,No,Assistant Engineer IV,LDSC Lucknow,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",08/AEIV/2025-26,2026_UPIDC_1109456_40,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,27-Jan-2026 12:00 PM,03-Feb-2026 03:00 PM,27-Jan-2026 12:00 PM,03-Feb-2026 12:00 PM,27-Jan-2026 12:00 PM ,03-Feb-2026 12:00 PM ,27-Jan-2026 12:00 PM,03-Feb-2026 12:00 PM,09-Feb-2026 10:00 AM,"3,040",No,fixed,,Nil,Nil,Construction of Rain Chute at Km. 0.950 (River Side) of Gomti Nagar Vistaar Suraksha Tatbandh.(Lot No.40),Construction of Rain Chute at Km. 0.950 (River Side) of Gomti Nagar Vistaar Suraksha Tatbandh.(Lot No.40),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,15.0,gomti nagar vistaar,226010.0,NA ,NA ,NA ,canal Colony,No ,No,AOC,Finance,Boq Summary,deena nath maurya,09-Feb-2026 02:06 PM,finance_2048807.pdf,BOQ Comparative Chart,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,11-Feb-2026 03:23 PM,finsummary_2048807.pdf (1096.96 KB),1.0,5839288.0,vajid ali,INR,"146,491.39","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2026_UPIDC_1109456_40,08/AEIV/2025-26,Construction of Rain Chute at Km. 0.950 (River Side) of Gomti Nagar Vistaar Suraksha Tatbandh.(Lot No.40),1,5836001,M/S JAITARA DEVELOPER,01-Feb-2026 04:14 PM,Rejected-AOC,L2,08-May-2026 05:10 PM,17-Feb-2026,"INR 146,491.39",15.0,deena nath maurya,08-May-2026 05:10 PM,agno404.pdf (754.00 KB),AOC,Technical,summary,deena nath maurya,06-Feb-2026 03:09 PM,technical_2048807.pdf,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,06-Feb-2026 04:40 PM,09-Feb-2026 10:00 AM,techsummary_2048807.pdf (1096.96 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5839288,vajid ali,03-Feb-2026 02:27 AM,Accepted-AOC,L1,08-May-2026 05:10 PM,,,,,,,,,,,,,,,,,,,,AOC
