Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
18-May-2026,"INR 299,084.5",15.0,Dinesh Mohan,18-May-2026 01:59 PM,5.pdf (142.00 KB),299084.5,1.0,5924536.0,VATS CONSTRUCTION,INR,"299,084.5","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2026_UPIDC_1115970_5,07/EE/2025-26,Clearance of Gajadharpur Drain from KM 0.000 to KM 7.000 in District Basti,1,5928619,Adya Construction,25-Feb-2026 11:41 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,Finance,AS PER UPLOAD,Dinesh Mohan,26-Mar-2026 07:49 PM,,BOQ Comparative Chart,Dinesh Mohan,Internal,VISHWANATH SHUKLA,Dinesh Mohan,11-Mar-2026 05:05 PM,12-Mar-2026 05:00 PM,techsummary_2071255.pdf (211.36 KB),Technical,AS PER UPLOAD,Dinesh Mohan,11-Mar-2026 01:54 PM,,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,28-Mar-2026 01:28 PM,finsummary_2071255.pdf (34.69 KB),AOC,1.0,Corrigendum,Date,,16-Feb-2026 10:00 AM,25-Feb-2026 12:30 PM,16-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,NA ,NA ,16-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,12-Mar-2026 05:00 PM,795.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",07/EE/2025-26,2026_UPIDC_1115970_5,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Clearance of Gajadharpur Drain from KM 0.000 to KM 7.000 in District Basti,Clearance of Gajadharpur Drain from KM 0.000 to KM 7.000 in District Basti,Please refer Tender documents. ,NA ,"8,40,000",Civil Works,NA ,Rate Contract,90.0,15.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.","17,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,5902820,M/S ARPIT CONSTRUCTION,24-Feb-2026 01:20 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,AS PER UPLOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5926026,M/S ASHA SINGH CONTRACTOR,24-Feb-2026 08:22 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5896254,M/S BANSHI DHAR PANDEY CONTRACTOR,19-Feb-2026 01:01 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5902730,M/S HARIPAL SINGH,25-Feb-2026 09:36 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5925512,M/S JAI CONSTRUCTION,24-Feb-2026 06:31 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5927171,M/S OM PRAKASH,25-Feb-2026 11:42 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5925838,M/S OM SAI TRADERS,25-Feb-2026 11:55 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5902397,M/S UMA SHANKAR YADAV,24-Feb-2026 09:28 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5923525,Pratap Narayan Mishra,24-Feb-2026 04:48 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
