S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,"20,000",No,fixed,,Nil,Nil,767.0,Nil,Nil,No,30-Jan-2026 11:00 AM,26-Feb-2026 03:00 PM,30-Jan-2026 11:00 AM,26-Feb-2026 12:00 PM,NA ,NA ,30-Jan-2026 11:00 AM,26-Feb-2026 12:00 PM,07-Mar-2026 03:00 PM,"EE RED, Vikas Bhawan, Ambedkarnagar","EE RED Ambedkarnagar, Vikas Bhawan, Ambedkarnagar",1,Date,Date,,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,"Under District Ambedkarnagar, Construction of CC road from the main canal of Gram Panchayat to Sanjay Yadav house in village Baniyani, Lot No 1","Under District Ambedkarnagar, Construction of CC road from the main canal of Gram Panchayat to Sanjay Yadav house in village Baniyani, Lot No 1",Please refer Tender documents. ,NA ,"9,97,000",Civil Works,NA ,Tender,90.0,90.0,Ambedkarnagar,224001.0,"EE RED, Vikas Bhawan, Ambedkarnagar ","EE RED Ambedkarnagar, Vikas Bhawan, Ambedkarnagar  ",02-Feb-2026 11:00 AM ,"EE RED, Vikas Bhawan, Ambedkarnagar",No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE AMBEDKAR NAGAR,1322/EE RED Ambedkarnagar/25-26 Dt 01/01/2026,2026_REDUP_1110863_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,"Er Shailendra Chaudhary EE RED Ambedkarnagar,",Internal,"Er Shailendra Chaudhary EE RED Ambedkarnagar, Er Yogesh Kumar AE RED Ambedkarnagar, Mr Anand Swaroop Yadav DAO RED Ambedkarnagar",ANAND SWAROOP YADAV,01-Mar-2026 02:31 PM,07-Mar-2026 03:00 PM,techsummary_2051699.pdf (11473.66 KB),Finance,Summary,Shailendra Chaudhary,09-Mar-2026 11:24 AM,,BOQ Comparative Chart,"Er Shailendra Chaudhary EE RED Ambedkarnagar,",Internal,,Shailendra Chaudhary,25-May-2026 07:48 PM,finsummary_2051699.pdf (246.01 KB),Technical,Summary,Shailendra Chaudhary,26-Feb-2026 09:37 PM,,1,5886917,M/S MAHAKAL CONSTRUCTION,17-Feb-2026 03:57 PM,Accepted-AOC,AoC,25-May-2026 07:51 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE AMBEDKAR NAGAR,2026_REDUP_1110863_1,1322/EE RED Ambedkarnagar/25-26 Dt 01/01/2026,"Under District Ambedkarnagar, Construction of CC road from the main canal of Gram Panchayat to Sanjay Yadav house in village Baniyani, Lot No 1",1.0,5886917.0,M/S MAHAKAL CONSTRUCTION,INR,"1,023,590",25-May-2026,"INR 1,023,590",90.0,Shailendra Chaudhary,25-May-2026 07:51 PM,1322_1.pdf (246.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,2,Fee,Fee,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5887212,M/S SHOBH NATH VERMA,17-Feb-2026 04:11 PM,Rejected-Finance,Rejected,25-May-2026 07:48 PM,,,,,,,,,,,,,,,,AOC
