Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
REPAIR AND RENOVATION WORK OF S.N. HOSPITAL BUILDING FIROZABAD AT DISTRICT FIROZABAD (U.P.),REPAIR AND RENOVATION WORK OF S.N. HOSPITAL BUILDING FIROZABAD AT DISTRICT FIROZABAD (U.P.),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,365.0,"S.N. HOSPITAL, FIROZABAD",283203.0,NA ,NA ,NA ,AGRA,No ,No,SUPERINTENDENT ENGINEER,"06, RAJSHREE GARDEN, DAYAL BAGH, AGRA",1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"7,080",EE,FIROZABAD,No,1.0,BG - Bank Guarantee,10-Apr-2026 10:00 AM,25-Apr-2026 10:00 AM,10-Apr-2026 10:00 AM,24-Apr-2026 05:00 PM,NA ,NA ,10-Apr-2026 10:00 AM,24-Apr-2026 05:00 PM,30-Apr-2026 10:00 AM,"2,75,000",No,fixed,,EE,FIROZABAD,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,04/SE/E-TENDER/2026-27,2026_UPRNS_1135285_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,30-Apr-2026 02:21 PM,finsummary_2119586.pdf (296.14 KB),Technical,WE HAVE RECEIVED TECHNICAL BID,NAGENDRA YADAV,29-Apr-2026 03:34 PM,technical_2119586.pdf,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,29-Apr-2026 03:41 PM,30-Apr-2026 10:00 AM,techsummary_2119586.pdf (296.14 KB),Finance,WE HAVE RECEIVED FINANCIAL BID,NAGENDRA YADAV,30-Apr-2026 02:19 PM,finance_2119586.pdf,BOQ Comparative Chart,1.0,6065379.0,M/S MEHTAB CONSTRUCTIONS,INR,"13,743,125",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,2026_UPRNS_1135285_1,04/SE/E-TENDER/2026-27,REPAIR AND RENOVATION WORK OF S.N. HOSPITAL BUILDING FIROZABAD AT DISTRICT FIROZABAD (U.P.),1,6066398,Moradabad Construction and Electrification,24-Apr-2026 01:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Apr-2026 03:34 PM,14-May-2026,"INR 13,743,125",365.0,NAGENDRA YADAV,14-May-2026 03:19 PM,04.pdf (1014.00 KB),QUOTED AMOUNT LOWER THAN OTHER BIDER,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6065628,MRS UTSAV CONSTRUCTION,24-Apr-2026 01:54 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Apr-2026 03:34 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6065379,M/S MEHTAB CONSTRUCTIONS,24-Apr-2026 02:17 PM,Accepted-AOC,QUOTED AMOUNT LOWER THAN OTHER BIDER,14-May-2026 03:18 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6066540,M/S SHISHU PRATAP SINGH CONTRACTOR,24-Apr-2026 04:31 PM,Rejected-Finance,QUOTED AMOUNT HIGHER THAN OTHER BIDER,30-Apr-2026 02:21 PM,,,,,,,,AOC
