S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,6066830.0,A G Construction,INR,"2,028,932.87","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Moradabad||MGCCD-15, Moradabad",2026_UPIDC_1135692_2,01/EE/2026-27,LOT-2,1,6066830,A G Construction,24-Apr-2026 11:30 PM,Accepted-AOC,L1,22-May-2026 04:35 PM,08-May-2026,"INR 2,028,932.87",45.0,RAJINDER KUMAR,22-May-2026 04:35 PM,LOT02AOC.pdf (380.00 KB),AOC,Rajinder Kumar,Internal,Rajeev Kumar and Divisional Accountant,RAJINDER KUMAR,28-Apr-2026 03:38 PM,28-Apr-2026 04:00 PM,techsummary_2121201.pdf (341.47 KB),Finance,Admitted for Financial Evaluation,RAJINDER KUMAR,28-Apr-2026 04:29 PM,,BOQ Comparative Chart,Rajinder Kumar,Internal,Rajeev Kumar and Divisional Accountanat,RAJINDER KUMAR,29-Apr-2026 11:01 AM,finsummary_2121201.pdf (259.83 KB),Technical,Admitted For Technial Evaluation,RAJINDER KUMAR,28-Apr-2026 03:20 PM,,AOC,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,LOT-2,Construction of V.R.B. at km 0.05 of Prahladpur Dy and Construction of VRB at km 1.096 of Kheda Minor under MGC Stage IInd Project.,Please refer Tender documents. ,NA ,"21,10,000",Civil Works,NA ,Rate Contract,90.0,45.0,Sambhal,244302.0,EEMGCCDIV15MBD ,MGCC Div-15 Moradabad ,15-Apr-2026 11:00 AM ,Moradabad,No ,No,15-Apr-2026 11:00 AM,25-Apr-2026 03:00 PM,15-Apr-2026 11:00 AM,25-Apr-2026 12:00 PM,NA ,NA ,15-Apr-2026 11:00 AM,25-Apr-2026 12:00 PM,28-Apr-2026 04:00 PM,"45,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Moradabad||MGCCD-15, Moradabad",01/EE/2026-27,2026_UPIDC_1135692_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EEMGCCDIV15MBD,EEMGCCDIV15MBD,1.0,SBI Bank,854.0,Nil,Nil,No,AOC
,,,,,,,,,2,6067700,BALAJI CONSTRUCTIONS,25-Apr-2026 03:09 AM,Rejected-Finance,Third Lowest,29-Apr-2026 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6067857,M/S ALI ENTERPRISES,25-Apr-2026 11:24 AM,Rejected-Technical,Conditions Not Fulfilled,28-Apr-2026 03:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6067814,M/S IRFAN TRADERS,25-Apr-2026 10:48 AM,Rejected-Finance,Second Lowest,29-Apr-2026 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6067792,m/s satya bhan singh contractor,25-Apr-2026 08:13 AM,Rejected-Technical,Conditions Not Fulfilled,28-Apr-2026 03:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
