Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Kanpur,2026_UPIDM_1103664_1,26/EE/BMMDK/2025-26 (LOT-2),Painting work on Chequrred plate and Superstructure of Gomti Barrage-Lucknow,1.0,5803982.0,MANJULA MISHRA,INR,"1,482,349",1,5803982,MANJULA MISHRA,15-Jan-2026 06:44 PM,Accepted-AOC,lowest bid rate,26-May-2026 12:30 PM,26-May-2026,"INR 1,482,349",120.0,PRANAV SINGH,26-May-2026 12:30 PM,26_2.pdf (516.00 KB),E E,Internal,,PRANAV SINGH,26-May-2026 12:28 PM,finsummary_2035446.pdf (516.19 KB),Technical,All 3 No. technical bids are opened by the tender-opening committee.,PRANAV SINGH,12-Mar-2026 05:11 PM,,E E,Internal,,PRANAV SINGH,12-Mar-2026 06:09 PM,12-Mar-2026 06:10 PM,techsummary_2035446.pdf (57.69 KB),Finance,All 3 No financial bids are opened by the tender opening committee.,PRANAV SINGH,02-Apr-2026 01:42 PM,,BOQ Comparative Chart,AOC,03-Jan-2026 12:00 PM,16-Jan-2026 03:00 PM,03-Jan-2026 12:00 PM,16-Jan-2026 10:00 AM,NA ,NA ,03-Jan-2026 12:00 PM,16-Jan-2026 10:00 AM,12-Mar-2026 06:10 PM,Painting work on Chequrred plate and Superstructure of Gomti Barrage-Lucknow,Painting work on Chequrred plate and Superstructure of Gomti Barrage-Lucknow,Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Tender,120.0,120.0,Gomti Barrage-Lucknow,226010.0,NA ,NA ,NA ,"Office of Executive Engineer, BMMD, Kanpur",No ,No,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Barrage Mechanical Maintenance Div Kanpur,26/EE/BMMDK/2025-26 (LOT-2),2026_UPIDM_1103664_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"31,100",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Fee, EMD, Pre bid Qualification",Executive Engineer,"Office of Executive Engineer, Barrage Mechanical Maintenance Division, Kanpur Irrigation Department U.P., 67-A, Cantt, Kanpur-208004",1.0,SBI Bank,590.0,Nil,Nil,No,AOC
,,,,,,,,,2,5802846,pawan kumar,14-Jan-2026 08:17 AM,Rejected-Finance,higher bid rate,26-May-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,3,5804168,SHIV RAM ENTERPRISES,14-Jan-2026 06:15 PM,Rejected-Finance,higher bid rate,26-May-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
