S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,18-Feb-2026 05:00 PM,26-Feb-2026 12:30 PM,18-Feb-2026 05:00 PM,26-Feb-2026 12:00 PM,NA ,NA ,18-Feb-2026 05:00 PM,26-Feb-2026 12:00 PM,16-Mar-2026 12:30 PM,Installation of High Mast Light (6way) at 07 locations (as per the attached list of Hon ble Member Legislative Council Sitapur) Block Machhrehta,Installation of High Mast Light (6way) at 07 locations (as per the attached list of Hon ble Member Legislative Council Sitapur) Block Machhrehta,Please refer Tender documents. ,NA ,"11,04,560",Electrical Works,NA ,Tender,90.0,90.0,"Machhrehta, Sitapur.",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,EE RED Sitapur,Vikas Bhawan Sitapur,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1595/RED/Tender/2025-26,2026_REDUP_1117641_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"24,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical,1.0,Date,Date,,857.0,Nil,Nil,No,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1117641_11,1595/RED/Tender/2025-26,Installation of High Mast Light (6way) at 07 locations (as per the attached list of Hon ble Member Legislative Council Sitapur) Block Machhrehta,1,5926529,M/s Mannat Construction,25-Feb-2026 10:51 AM,Rejected-Finance,Higher Rate Quoted,14-Apr-2026 02:12 PM,1.0,5930367.0,SHAKUN CONSTRUCTION,INR,"1,104,450",Gyanendra Kumar,Internal,,Gyanendra Kumar,14-Apr-2026 02:12 PM,finsummary_2077086.pdf (523.50 KB),Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,16-Mar-2026 05:24 PM,,BOQ Comparative Chart,Gyanendra Kumar,Internal,,Gyanendra Kumar,12-Mar-2026 05:12 PM,16-Mar-2026 12:30 PM,techsummary_2077086.pdf (337.08 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,27-Feb-2026 01:46 PM,,13-May-2026,"INR 1,104,450",90.0,Gyanendra Kumar,13-May-2026 05:29 PM,74.pdf (97.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,AOC,,,,,2,5930367,SHAKUN CONSTRUCTION,25-Feb-2026 07:11 PM,Accepted-AOC,L1,13-May-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
