Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2900/EE/RED/GKP/25-26 Date 07-02-26,2026_REDUP_1121779_31,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Block-Piprauli Gram Panchayat Gurauli mein Panchayat Bhawan se Prahlad Pandey avam Pitch Road se Sachidanand Tiwari ke Makan Tak CC Road Ka Nirman,Block-Piprauli Gram Panchayat Gurauli mein Panchayat Bhawan se Prahlad Pandey avam Pitch Road se Sachidanand Tiwari ke Makan Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"12,98,000",Civil Works,NA ,Tender,90.0,90.0,GORAKHPUR,273001.0,NA ,NA ,NA ,Vikash Bhawan Gorakhpur,No ,No,EXECUTIVE ENGINEER,Vikash Bhawan,812.0,Nil,Nil,No,08-Mar-2026 09:00 AM,16-Mar-2026 09:00 AM,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,NA ,NA ,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,19-Mar-2026 03:00 PM,"25,960",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical,AOC,Finance,Opend,Abhishek Rai,20-Mar-2026 08:03 AM,,BOQ Comparative Chart,Executive Engineer,Internal,,Abhishek Rai,20-Mar-2026 12:34 PM,finsummary_2087881.pdf (152.96 KB),1.0,5972886.0,M/S RAI ENTERPRISES,INR,"1,297,170",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1121779_31,2900/EE/RED/GKP/25-26 Date 07-02-26,Block-Piprauli Gram Panchayat Gurauli mein Panchayat Bhawan se Prahlad Pandey avam Pitch Road se Sachidanand Tiwari ke Makan Tak CC Road Ka Nirman,1,5972765,M/S ARYAN ENTERPRISES,14-Mar-2026 08:59 PM,Rejected-AOC,L2,08-May-2026 12:52 PM,Executive Engineer,Internal,,Suresh Kumar Jaiswal,19-Mar-2026 02:48 PM,19-Mar-2026 03:00 PM,techsummary_2087881.pdf (454.39 KB),10-Apr-2026,"INR 1,297,170",90.0,Suresh Kumar Jaiswal,08-May-2026 12:52 PM,bpdf.pdf (153.00 KB),Technical,opend,Abhishek Rai,17-Mar-2026 12:06 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,AOC,,,,,,,,,,,,,,,,,,,,,,2,5972886,M/S RAI ENTERPRISES,14-Mar-2026 07:30 PM,Accepted-AOC,L1,08-May-2026 12:52 PM,,,,,,,,,,,,,,,,,,,AOC
