Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
15-May-2026,"INR 30,428,804.14",270.0,SURESH CHANDRA YADAV,15-May-2026 07:47 PM,AOC.pdf (543.00 KB),1,6042183,D S INFRA PROMOTERS PVT LTD,12-Apr-2026 06:51 PM,Rejected-Technical,Disqualified,18-Apr-2026 02:32 PM,1.0,6038807.0,Vatsha and Sons,INR,"30,428,804.14",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow,2026_UPPRC_1133321_1,01/UPPCL/GM-5/E-TENDER/2026-27,Construction work of modern workshop and training room in Industrial Training Institute Motihari of District Banda (U.P.),Finance,Summary_1133321_1,SURESH CHANDRA YADAV,15-May-2026 07:36 PM,finance_2115467.pdf,BOQ Comparative Chart,"General Manager,Zone-5",Internal,"General Manager,Zone-2,Project Manager,Unit-13,Accountant,Unit-13",SURESH CHANDRA YADAV,18-Apr-2026 02:32 PM,20-Apr-2026 02:00 PM,techsummary_2115467.pdf (989.29 KB),Technical,Summary_1133321_1,SURESH CHANDRA YADAV,18-Apr-2026 02:19 PM,technical_2115467.pdf,"General Manager,Zone-5",Internal,"General Manager,Zone-2,Project Manager,unit-13,Accountant,Unit-13",SURESH CHANDRA YADAV,15-May-2026 07:43 PM,finsummary_2115467.pdf (989.29 KB),AOC,"General Manager, Zone-5","General Manager, Zone-5, U.P. Projects Corporation Ltd. Gomti Barrage, Left Bank, Gomti Nagar, Lucknow",1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,"17,700",Nil,Nil,No,"6,12,000",No,fixed,,Nil,Nil,Construction work of modern workshop and training room in Industrial Training Institute Motihari of District Banda (U.P.),Construction work of modern workshop and training room in Industrial Training Institute Motihari of District Banda (U.P.),Construction work of modern workshop and training room in Industrial Training Institute Motihari of District Banda (U.P.) ,NA ,"3,05,97,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,District Banda (U.P.),210001.0,NA ,NA ,NA ,"General Manager, Zone-5",No ,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow,01/UPPCL/GM-5/E-TENDER/2026-27,2026_UPPRC_1133321_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,06-Apr-2026 09:00 AM,13-Apr-2026 04:00 PM,06-Apr-2026 09:00 AM,13-Apr-2026 03:00 PM,NA ,NA ,06-Apr-2026 09:00 AM,13-Apr-2026 03:00 PM,20-Apr-2026 02:00 PM,AOC
,,,,,,2,6042219,MAA GOMTI CONSTRUCTION,12-Apr-2026 02:24 PM,Rejected-Technical,Disqualified,18-Apr-2026 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,6038561,PIYUSH KUMAR SINGH CONTRACTOR,13-Apr-2026 11:49 AM,Rejected-AOC,Qualified,15-May-2026 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,6038807,Vatsha and Sons,13-Apr-2026 12:27 PM,Accepted-AOC,Qualified,15-May-2026 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
