S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,sbd,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,1658/RED/Tender/2025-26 Dated 12-02-2026,2026_REDUP_1124924_24,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,145",Nil,Nil,No,Dhoha Chhunar marg se kabir Ashrm rambag baheri tak road ka nirman karya,Dhoha Chhunar marg se kabir Ashrm rambag baheri tak road ka nirman karya,Please refer Tender documents. ,NA ,"33,32,000",Civil Works,NA ,Tender,90.0,90.0,Mirzapur,231001.0,NA ,NA ,NA ,Executive Engineer RED Division Mirzapur,No ,No,"67,000",Yes,fixed,,Nil,Nil,EXECUTIVE ENGINEER,Near Jahnvi Hotel Putlighar Mirzapur,14-Mar-2026 10:00 AM,24-Mar-2026 12:30 PM,14-Mar-2026 10:00 AM,23-Mar-2026 12:00 PM,NA ,NA ,14-Mar-2026 10:00 AM,23-Mar-2026 12:00 PM,07-Apr-2026 12:00 PM,AOC,Finance,finan,Vimal Kumar,07-Apr-2026 06:54 PM,,BOQ Comparative Chart,EE,Internal,DAOAE,Vimal Kumar,30-Apr-2026 05:47 PM,finsummary_2097063.pdf (22.90 KB),1.0,5996489.0,M/S KRISHNA NAND SINGH,INR,"3,324,947",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,2026_REDUP_1124924_24,1658/RED/Tender/2025-26 Dated 12-02-2026,Dhoha Chhunar marg se kabir Ashrm rambag baheri tak road ka nirman karya,1,5996489,M/S KRISHNA NAND SINGH,22-Mar-2026 06:27 PM,Accepted-AOC,AOC,05-May-2026 09:43 AM,05-May-2026,"INR 3,324,947",90.0,Vimal Kumar,05-May-2026 09:43 AM,dhohachunar.pdf (296.00 KB),Technical,tech,Vimal Kumar,28-Mar-2026 02:58 PM,,EE,Internal,DAOAE,Vimal Kumar,30-Mar-2026 04:48 PM,07-Apr-2026 12:00 PM,techsummary_2097063.pdf (236.34 KB),AOC
,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5996618,MS MAA VINDHYA CONSTRUCTION COMPANY,22-Mar-2026 07:36 PM,Rejected-Finance,l2,30-Apr-2026 05:47 PM,,,,,,,,,,,,,,,,,,,AOC
