S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
1.0,6108019.0,M/S AKASH CONSTURCTION COMPANY & SUPPLIERS,INR,"1,801,150",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,2026_SCIDC_1145760_1,56/E.E./DRDA/KNJ/2026-27 DT 06.05.2026,Construction of CC Road Composite School Maanpur to Scheduled Morcha Office at Ward No.2 Ravindra Nath Taigor Nagar Palika Parishad Kannauj under Vidhayak Nidhi,1,6109710,ANAND ENTERPRISES,12-May-2026 11:33 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-May-2026 02:07 PM,22-May-2026,"INR 1,801,150",180.0,Shiva nand Dubey,25-May-2026 01:27 PM,LOI.pdf (375.00 KB),Executive Engineer,Internal,,Shiva nand Dubey,22-May-2026 01:36 PM,finsummary_2142139.pdf (412.68 KB),Technical,Technical,Shiva nand Dubey,19-May-2026 02:07 PM,technical_2142139.pdf,Executive Engineer,Internal,,Shiva nand Dubey,19-May-2026 02:13 PM,19-May-2026 02:15 PM,techsummary_2142139.pdf (630.41 KB),Finance,Financial,Shiva nand Dubey,22-May-2026 01:33 PM,finance_2142139.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Tender fee and Earnest money receipt with documents,1.0,FDR - Fixed Deposit,"1,652",UPSCIDCO LTD,KANNAUJ,No,Construction of CC Road Composite School Maanpur to Scheduled Morcha Office at Ward No.2 Ravindra Nath Taigor Nagar Palika Parishad Kannauj under Vidhayak Nidhi,Construction of CC Road Composite School Maanpur to Scheduled Morcha Office at Ward No.2 Ravindra Nath Taigor Nagar Palika Parishad Kannauj under Vidhayak Nidhi,Please refer Tender documents. ,NA ,,Civil Works,as per BOQ ,Tender,90.0,180.0,Kannauj,209725.0,NA ,NA ,NA ,Kannauj office,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,56/E.E./DRDA/KNJ/2026-27 DT 06.05.2026,2026_SCIDC_1145760_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"43,000",No,fixed,,UPSCIDCO LTD,KANNAUJ,06-May-2026 01:00 PM,12-May-2026 02:00 PM,06-May-2026 01:00 PM,12-May-2026 12:00 PM,NA ,NA ,06-May-2026 01:00 PM,12-May-2026 12:00 PM,19-May-2026 02:15 PM,"Babu Ram, Executive Engineer",Dak Bangla Road Saraimeera Kannauj,AOC
,,,,,,,,,2,6108019,M/S AKASH CONSTURCTION COMPANY & SUPPLIERS,11-May-2026 11:00 PM,Accepted-AOC,L1,25-May-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,FINANCIAL,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6107654,SAVITRI MAHESH ENTERPRISES,11-May-2026 07:48 PM,Rejected-Finance,L2,22-May-2026 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
