S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,5936847.0,NIKHIL CONSTRUCTION,INR,"41,379,044.4","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh",2026_UPIDC_1118524_3,09/S.E/XVI/2025-26,Earth Work in Berm Cutting of Pratapgarh Branch from km. 0.000 to km 51.470 in District Raebareli and Pratapgarh,1,5930153,ARVIND KUMAR SINGH,27-Feb-2026 01:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Apr-2026 05:32 PM,21-Apr-2026,"INR 41,379,044.4",365.0,DHRUV CHANDRA VERMA,11-May-2026 03:24 PM,33333.pdf (446.00 KB),ok,1.0,Evaluation Error,Tender Revocation,02-Apr-2026 03:30 PM,272727.pdf ,351.38,Technical Opening,Dhruva Chandra Verma,Internal,Lavkush,DHRUV CHANDRA VERMA,21-Apr-2026 02:15 PM,finsummary_2079091.pdf (254.36 KB),Technical,ok,DHRUV CHANDRA VERMA,02-Apr-2026 05:32 PM,technical_2079091.pdf,Dhruva Chandra Verma,Internal,Lavkush singh,DHRUV CHANDRA VERMA,02-Apr-2026 05:41 PM,02-Apr-2026 05:45 PM,techsummary_2079091.pdf (803.52 KB),Finance,ok,DHRUV CHANDRA VERMA,21-Apr-2026 02:09 PM,finance_2079091.pdf,BOQ Comparative Chart,AOC,"8,80,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,tendernotice,21-Feb-2026 10:00 AM,27-Feb-2026 04:00 PM,21-Feb-2026 10:00 AM,27-Feb-2026 03:00 PM,NA ,NA ,21-Feb-2026 10:00 AM,27-Feb-2026 03:00 PM,02-Apr-2026 05:45 PM,Earth Work in Berm Cutting of Pratapgarh Branch from km. 0.000 to km 51.470 in District Raebareli and Pratapgarh,Earth Work in Berm Cutting of Pratapgarh Branch from km. 0.000 to km 51.470 in District Raebareli and Pratapgarh,Please refer Tender documents. ,NA ,"4,39,96,000",Civil Works,NA ,Tender,90.0,365.0,Pratapgarh,230001.0,NA ,NA ,NA ,Superintending Engineer 16th Circle Irrigation wor,No ,No,1.0,SBI Bank,"6,754",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh",09/S.E/XVI/2025-26,2026_UPIDC_1118524_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Superintending Engineer,Superintending Engineer 16th Circle Irrigation work Pratapgarh.,AOC
,,,,,,,,,2,5923337,M/S PRATAP NIRMAN SANSTHAN,26-Feb-2026 04:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Apr-2026 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5928559,M/S Ravindra Pratap Singh,26-Feb-2026 06:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Apr-2026 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5936847,NIKHIL CONSTRUCTION,27-Feb-2026 01:54 PM,Accepted-AOC,Low bidder,11-May-2026 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5934839,Shivank Enterprises,26-Feb-2026 09:35 PM,Rejected-Technical,DisQualified,02-Apr-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5937928,YADAV AND SONS,27-Feb-2026 02:47 PM,Rejected-Finance,High Bidder,21-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
