Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
10-Mar-2026 06:00 PM,30-Mar-2026 04:00 PM,10-Mar-2026 06:00 PM,30-Mar-2026 03:00 PM,NA ,NA ,10-Mar-2026 06:00 PM,30-Mar-2026 03:00 PM,22-Apr-2026 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,"14,66,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Construction of 18 M wide Road R 2 Drain and Culverts in Sector 26 GIDA Gorakhpur,Construction of 18 M wide Road R 2 Drain and Culverts in Sector 26 GIDA Gorakhpur,Please refer Tender documents. ,NA ,"2,53,14,957",Civil Works,NA ,Tender,90.0,365.0,GIDA GORAKHPUR,273212.0,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR ,GIDA SECTOR 7 GIDA GORAKHPUR ,27-Mar-2026 04:30 PM ,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR,No ,No,Gorakhpur Industrial Development Authority,7008/GIDA/2025-26 DT. 06.03.2026,2026_UGIDA_1123369_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CEO GIDA,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR,"2,950",Nil,Nil,No,AOC,CEO GIDA,Internal,M(C)GM(F)ACEO,vivek kumar verma,11-May-2026 03:08 PM,finsummary_2092791.pdf (466.19 KB),Technical,BID OPENED,brijesh kumar agrahari,30-Mar-2026 05:19 PM,,CEO GIDA,Internal,M(C) GM(F) ACEO,vivek kumar verma,22-Apr-2026 04:27 PM,22-Apr-2026 04:30 PM,techsummary_2092791.pdf (699.28 KB),Finance,BID OPENED,VIBHOR TYAGI,22-Apr-2026 05:19 PM,,BOQ Comparative Chart,Gorakhpur Industrial Development Authority,2026_UGIDA_1123369_1,7008/GIDA/2025-26 DT. 06.03.2026,Construction of 18 M wide Road R 2 Drain and Culverts in Sector 26 GIDA Gorakhpur,1.0,6021990.0,M/S M.V.D. INFRADEVELOPERS PVT. LTD.,INR,"17,897,674.64",1,6021341,A K ENGINEERING WORKS,30-Mar-2026 01:49 PM,Rejected-Finance,L6,11-May-2026 03:08 PM,11-May-2026,"INR 17,897,674.64",365.0,vivek kumar verma,11-May-2026 03:34 PM,7008.pdf (466.00 KB),L1,AOC
,,,,,,,,,,,.pdf,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6017888,M/S AGRAWAL ASSOCIATE,30-Mar-2026 11:24 AM,Rejected-Finance,L3,11-May-2026 03:08 PM,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6022056,M/S BISHEN INFRA,30-Mar-2026 02:20 PM,Rejected-Technical,NOT RESPONSIVE,22-Apr-2026 04:27 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6022031,msdorgawatienterprises,30-Mar-2026 01:26 PM,Rejected-Technical,NOT RESPONSIVE,22-Apr-2026 04:27 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6019585,M/S D P INFRASTRUCTURES,29-Mar-2026 08:08 PM,Rejected-Finance,L2,11-May-2026 03:08 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6022228,M/S MAA AMBEY TRADERS,30-Mar-2026 02:08 PM,Rejected-Technical,NOT RESPONSIVE,22-Apr-2026 04:27 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6021990,M/S M.V.D. INFRADEVELOPERS PVT. LTD.,30-Mar-2026 02:42 PM,Accepted-AOC,L1,11-May-2026 03:34 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6019132,M/s VIJENDRA PRATAP SINGH,30-Mar-2026 12:03 PM,Rejected-Finance,L4,11-May-2026 03:08 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6013455,Prabha Construction Infra Private Limited,30-Mar-2026 10:32 AM,Rejected-Finance,L3,11-May-2026 03:08 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6022391,RAM NARAYAN YADAV,30-Mar-2026 02:54 PM,Rejected-Technical,NOT RESPONSIVE,22-Apr-2026 04:27 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6017222,R.K.TRADERS & CONSTRUCTION PRIVATE LIMITED,30-Mar-2026 01:32 PM,Rejected-Finance,L5,11-May-2026 03:08 PM,,,,,,,,AOC
