Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,06-May-2026 06:24 PM,13-May-2026 11:00 AM,techsummary_2128964.pdf (961.24 KB),20-May-2026,"INR 3,660,675",90.0,Aniruddh Kumar Yadav,26-May-2026 04:29 PM,Maha.pdf (266.00 KB),Technical,Bids received,Aniruddh Kumar Yadav,06-May-2026 06:22 PM,,1.0,6084767.0,PRAMOD KUMAR SINGH,INR,"3,660,675",Finance,Bids received,Aniruddh Kumar Yadav,13-May-2026 03:32 PM,,BOQ Comparative Chart,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,20-May-2026 06:56 PM,finsummary_2128964.pdf (884.78 KB),1,6084784,M/s Shri Sant Saran Singh,03-May-2026 02:05 PM,Rejected-Finance,2nd bidder,20-May-2026 06:56 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1138505_48,21/RED/Chandauli/26-27 Date-04-04-2026,Vikas Khand Barahani ke Gram Maharani Gram-Salempur sadak marg ka nav nirman.,AOC,Vikas Khand Barahani ke Gram Maharani Gram-Salempur sadak marg ka nav nirman.,Vikas Khand Barahani ke Gram Maharani Gram-Salempur sadak marg ka nav nirman.,Please refer Tender documents. ,NA ,"37,02,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Barahani,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,EE RED Chandauli,EE RED Chandauli,"74,000",No,fixed,,Nil,Nil,"1,224",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,21/RED/Chandauli/26-27 Date-04-04-2026,2026_REDUP_1138505_48,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,EMD fees and Technical Document,1.0,Date Extended,Date,,1.0,SBI Bank,21-Apr-2026 06:30 PM,05-May-2026 12:30 PM,21-Apr-2026 06:30 PM,05-May-2026 12:00 PM,NA ,NA ,21-Apr-2026 06:30 PM,05-May-2026 12:00 PM,13-May-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6084767,PRAMOD KUMAR SINGH,03-May-2026 01:55 PM,Accepted-AOC,lowest bidder,26-May-2026 04:29 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,AOC
