Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
29-Apr-2026,"INR 93,539,577.81",365.0,BHARAM PAL SINGH,19-May-2026 05:49 PM,123.pdf (510.00 KB),AOC,Technical,UNDER,BHARAM PAL SINGH,08-Apr-2026 05:50 PM,,Committee,Internal,Committee,BHARAM PAL SINGH,08-Apr-2026 06:21 PM,08-Apr-2026 06:25 PM,techsummary_2046625.pdf (811.35 KB),1.0,5840062.0,M/S VIRAT CONSTRUCTION,INR,"93,539,577.81",Finance,UNDER,BHARAM PAL SINGH,29-Apr-2026 03:28 PM,,BOQ Comparative Chart,Committee,Internal,Committee,BHARAM PAL SINGH,29-Apr-2026 03:31 PM,finsummary_2046625.pdf (1520.73 KB),Yamuna Expressway Industrial Development Authority,2026_YEIDA_1107376_30,YEA/GM(PROJECT)/2026/455 DT-14/01/2026,"Construction of 75.00 mtr wide road (5 year maintenance)peripherial road between sector -8D and 8E ,yeida WC-04",1,5842414,Durga Engineers and Earth Movers,04-Feb-2026 01:51 PM,Rejected-Finance,L2,29-Apr-2026 03:31 PM,AOC,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2026/455 DT-14/01/2026,2026_YEIDA_1107376_30,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"Construction of 75.00 mtr wide road (5 year maintenance)peripherial road between sector -8D and 8E ,yeida WC-04","Construction of 75.00 mtr wide road (5 year maintenance)peripherial road between sector -8D and 8E ,yeida WC-04",Please refer Tender documents. ,NA ,"13,44,86,762",Civil Works,NA ,Tender,90.0,365.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"E- TEDER CELL ,2ND FLOOR , YEIDA OFFICE",No ,No,"6,770",Nil,Nil,No,22-Jan-2026 06:55 PM,05-Feb-2026 11:00 AM,22-Jan-2026 06:55 PM,04-Feb-2026 05:00 PM,NA ,NA ,22-Jan-2026 06:55 PM,04-Feb-2026 05:00 PM,08-Apr-2026 06:25 PM,1.0,SBI Bank,"23,44,870",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5842324,JAI SHIVA INFRA PROJECTS PRIVATE LIMITED,04-Feb-2026 03:49 PM,Rejected-Finance,L3,29-Apr-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5842082,M/s Buildcon Infra,04-Feb-2026 02:46 PM,Rejected-Finance,L4,29-Apr-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5837634,M/S KRV ASSOCIATES,04-Feb-2026 11:57 AM,Rejected-Finance,L5,29-Apr-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5840062,M/S VIRAT CONSTRUCTION,03-Feb-2026 02:01 PM,Accepted-AOC,L1,19-May-2026 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5838672,NP BUILDWELL PRIVATE LIMITED,03-Feb-2026 01:07 PM,Rejected-Finance,L6,29-Apr-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
