Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,29-Jan-2026 05:20 PM,03-Feb-2026 12:30 PM,techsummary_2039113.pdf (219.18 KB),04-May-2026,"INR 1,210,395.68",90.0,ShashiBhushan Yadav,21-May-2026 01:04 PM,Jindal.pdf (3952.00 KB),Technical,Summary,ShashiBhushan Yadav,29-Jan-2026 04:49 PM,technical_2039113.pdf,SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,02-Apr-2026 03:28 PM,finsummary_2039113.pdf (219.18 KB),Finance,Summary,ShashiBhushan Yadav,03-Feb-2026 03:49 PM,finance_2039113.pdf,BOQ Comparative Chart,1.0,5801810.0,M/S JINDAL ENTERPRISES,INR,"1,210,395.68",1,5801810,M/S JINDAL ENTERPRISES,13-Jan-2026 05:22 PM,Accepted-AOC,L1,21-May-2026 01:04 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,2026_REDUP_1105020_18,850/EERED/GBN//Dt-30.10.2025,Construction of Interlocking and drain work from Main Road to Gaushala Shiv Mandir in Jalpura.,AOC,1,Fee/PreQual/Technical,.pdf,T1,1.0,SBI Bank,09-Jan-2026 04:15 PM,14-Jan-2026 04:30 PM,09-Jan-2026 04:15 PM,14-Jan-2026 04:15 PM,NA ,NA ,09-Jan-2026 04:15 PM,14-Jan-2026 04:15 PM,03-Feb-2026 12:30 PM,766.0,Nil,Nil,No,EE RED GBN,EE RED GBN,"25,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,850/EERED/GBN//Dt-30.10.2025,2026_REDUP_1105020_18,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Interlocking and drain work from Main Road to Gaushala Shiv Mandir in Jalpura.,Construction of Interlocking and drain work from Main Road to Gaushala Shiv Mandir in Jalpura.,Civil Work  ,NA ,"12,23,000",Civil Works,NA ,Tender,90.0,90.0,EE RED GBN,201306.0,NA ,NA ,NA ,EE RED GBN,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5801857,SINGHAL ENTERPRISES,13-Jan-2026 04:51 PM,Rejected-Finance,L2,02-Apr-2026 03:28 PM,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
