Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Executive Engineer, Head works Division, Sarda can","Executive Engineer, Head works Division, Sarda canal Bareilly.","26,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender Document,02-Apr-2026 11:00 AM,08-Apr-2026 02:00 PM,02-Apr-2026 12:00 PM,08-Apr-2026 12:00 PM,NA ,NA ,02-Apr-2026 12:00 PM,08-Apr-2026 12:00 PM,11-May-2026 11:00 AM,Sharda Bairaj Banbasa ke ve - Sankhya 08 Se 10 ke Madhya D/S Main Lunching Apron ke Kshatigrast Bhag kee Marmmat ke karya.,Sharda Bairaj Banbasa ke ve - Sankhya 08 Se 10 ke Madhya D/S Main Lunching Apron ke Kshatigrast Bhag kee Marmmat ke karya.,Please refer Tender documents. ,NA ,"12,46,000",Civil Works - Canal,NA ,Tender,90.0,30.0,Banbasa,262310.0,NA ,NA ,NA ,"Executive Engineer, Head works Division, Sarda can",No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly||HWDSC, bareilly",E Tender No 09/EE/2025-26,2026_UPIDC_1132057_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,766.0,Nil,Nil,No,1.0,SBI Bank,AOC,Finance,Letter,RAJIV KUMAR SINGH,11-May-2026 04:10 PM,finance_2112696.pdf,BOQ Comparative Chart,"Executive Engineer, Head works Division, Sarda canal Bareilly.",Internal,"Executive Engineer, RCD, Bareilly.",RAJIV KUMAR SINGH,06-May-2026 04:41 PM,11-May-2026 11:00 AM,techsummary_2112696.pdf (532.21 KB),Technical,Letter,RAJIV KUMAR SINGH,06-May-2026 04:37 PM,technical_2112696.pdf,"Executive Engineer, Head works Division, Sarda canal Bareilly.",Internal,"Executive Engineer, RCD, Bareilly.",RAJIV KUMAR SINGH,11-May-2026 04:22 PM,finsummary_2112696.pdf (532.20 KB),20-May-2026,"INR 1,083,897",30.0,RAJIV KUMAR SINGH,23-May-2026 04:28 PM,Lot13.pdf (532.00 KB),Purnagiri Construction Co.pvt. Ltd L-1,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly||HWDSC, bareilly",2026_UPIDC_1132057_1,E Tender No 09/EE/2025-26,Sharda Bairaj Banbasa ke ve - Sankhya 08 Se 10 ke Madhya D/S Main Lunching Apron ke Kshatigrast Bhag kee Marmmat ke karya.,1.0,6035374.0,PURNAGIRI CONSTRUCTION CO. PVT. LTD.,INR,"1,083,897",1,6035247,M/S MOHD ISRAIL,08-Apr-2026 11:02 AM,Rejected-Finance,Being Non Responsive,11-May-2026 04:22 PM,AOC
,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6035628,M/s Mujeeb Ahmad Thekedar,08-Apr-2026 01:51 AM,Rejected-Finance,Being Non Responsive,11-May-2026 04:22 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6035374,PURNAGIRI CONSTRUCTION CO. PVT. LTD.,08-Apr-2026 11:22 AM,Accepted-AOC,L1,23-May-2026 04:28 PM,AOC
