Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of Spur at Km 50.100 of Belha Behrauli Bund on Left Bank of Ghaghra River in District Bahraich. (LOT-08),Construction of Spur at Km 50.100 of Belha Behrauli Bund on Left Bank of Ghaghra River in District Bahraich. (LOT-08),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,180.0,BAHRAICH,271801.0,IX CIRCLE IRRIGATION WORKS BAHRAICH ,IX CIRCLE IRRIGATION WORKS BAHRAICH ,01-Apr-2026 10:00 AM ,IX CIRCLE IRRIGATION WORKS BAHRAICH,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||IX Circle Irrigation Works, Bahraich",01/SE-IX/2025-26,2026_UPIDC_1122208_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"9,64,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENTS,"7,685",Nil,Nil,No,1.0,SBI Bank,01-Apr-2026 09:00 AM,07-Apr-2026 03:30 PM,01-Apr-2026 10:00 AM,07-Apr-2026 03:00 PM,NA ,NA ,01-Apr-2026 10:00 AM,07-Apr-2026 03:00 PM,09-Apr-2026 10:00 AM,SUPERINTENDING ENGINEER,IX CIRCLE IRRIGATION WORKS BAHRAICH,AOC,1,6033124,RAHAT ALI,07-Apr-2026 12:32 PM,Rejected-Finance,HIGH RATE BIDDER,09-Apr-2026 10:29 AM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||IX Circle Irrigation Works, Bahraich",2026_UPIDC_1122208_11,01/SE-IX/2025-26,Construction of Spur at Km 50.100 of Belha Behrauli Bund on Left Bank of Ghaghra River in District Bahraich. (LOT-08),1.0,6030532.0,TRILOKI NATH TRIPATHI,INR,"45,270,040.86","ER. SHYAM JI CHAUBEY, S.E.",Internal,"ER. SHYAM JI CHAUBEY, S.E., ER. RAJANI KANT AGRAWAL S.E. AND ER. JAI PRAKASH VERMA E.E.",SHYAM JI CHOUBEY,09-Apr-2026 10:29 AM,finsummary_2112893.pdf (52.56 KB),Finance,Bid Opening Summary,SHYAM JI CHOUBEY,09-Apr-2026 10:25 AM,finance_2112893.pdf,BOQ Comparative Chart,"ER. SHYAM JI CHAUBEY, S.E.",Internal,"ER. SHYAM JI CHAUBEY, S.E., ER. RAJANI KANT AGRAWAL S.E. AND ER. JAI PRAKASH VERMA E.E.",SHYAM JI CHOUBEY,07-Apr-2026 06:30 PM,09-Apr-2026 10:00 AM,techsummary_2112893.pdf (212.79 KB),Technical,Bid Opening Summary,SHYAM JI CHOUBEY,07-Apr-2026 03:47 PM,technical_2112893.pdf,09-Apr-2026,"INR 45,270,040.86",180.0,SHYAM JI CHOUBEY,19-May-2026 05:48 PM,LOT08.pdf (181.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC,2,6030532,TRILOKI NATH TRIPATHI,07-Apr-2026 02:21 PM,Accepted-AOC,LOWEST,19-May-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
