Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Assistant Engineer IV,LDSC Lucknow,21-Feb-2026 12:00 PM,28-Feb-2026 03:00 PM,21-Feb-2026 12:00 PM,28-Feb-2026 12:00 PM,21-Feb-2026 12:00 PM ,28-Feb-2026 12:00 PM ,21-Feb-2026 12:00 PM,28-Feb-2026 12:00 PM,10-Mar-2026 10:00 AM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",09/AEIV/2025-26,2026_UPIDC_1118401_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,1.0,SBI Bank,"Repairing and Finishing work in Garrage Near Resi No. 9A at Canal Colony Cantt Road, Lucknow.(Lot No.10)","Repairing and Finishing work in Garrage Near Resi No. 9A at Canal Colony Cantt Road, Lucknow.(Lot No.10)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,10.0,Canal Colony Lucknow,226001.0,NA ,NA ,NA ,canal Colony,No ,No,"3,380",No,fixed,,Nil,Nil,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2026_UPIDC_1118401_10,09/AEIV/2025-26,"Repairing and Finishing work in Garrage Near Resi No. 9A at Canal Colony Cantt Road, Lucknow.(Lot No.10)",1,5940242,CHANDRA SEN,28-Feb-2026 10:17 AM,Accepted-AOC,L1,12-May-2026 03:15 PM,1.0,5940242.0,CHANDRA SEN,INR,"164,297.32",Finance,summary,deena nath maurya,12-Mar-2026 11:22 AM,finance_2078805.pdf,BOQ Comparative Chart,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,12-Mar-2026 02:01 PM,finsummary_2078805.pdf (1096.96 KB),D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,09-Mar-2026 03:53 PM,10-Mar-2026 10:00 AM,techsummary_2078805.pdf (1096.96 KB),Technical,summary,deena nath maurya,09-Mar-2026 11:25 AM,technical_2078805.pdf,13-Mar-2026,"INR 164,297.32",10.0,deena nath maurya,12-May-2026 03:14 PM,agno460.pdf (623.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5940261,KISHORI,28-Feb-2026 10:07 AM,Rejected-AOC,L2,12-May-2026 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
