Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2900/EE/RED/GKP/25-26 Date 07-02-26,2026_REDUP_1121779_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,08-Mar-2026 09:00 AM,16-Mar-2026 09:00 AM,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,NA ,NA ,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,19-Mar-2026 04:00 PM,1,Fee/PreQual/Technical,.pdf,Technical,Block-Pipraich Gram Sabha Bahrampur Kusmaul mein Chandrika Nishad ke Ghar se Pannelal ke Ghar Tak CC Road Ka Nirman,Block-Pipraich Gram Sabha Bahrampur Kusmaul mein Chandrika Nishad ke Ghar se Pannelal ke Ghar Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"13,69,000",Civil Works,NA ,Tender,90.0,90.0,GORAKHPUR,273001.0,NA ,NA ,NA ,Vikash Bhawan Gorakhpur,No ,No,EXECUTIVE ENGINEER,Vikash Bhawan,1.0,SBI Bank,812.0,Nil,Nil,No,"27,380",No,percentage,2.0%,Nil,Nil,AOC,Finance,Opend,Abhishek Rai,19-Mar-2026 08:01 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Suresh Kumar Jaiswal,19-Mar-2026 03:32 PM,19-Mar-2026 04:00 PM,techsummary_2087549.pdf (438.86 KB),Technical,opend,Abhishek Rai,17-Mar-2026 10:39 AM,,Executive Engineer,Internal,,Abhishek Rai,20-Mar-2026 01:39 PM,finsummary_2087549.pdf (152.96 KB),14-May-2026,"INR 1,367,825",90.0,Abhishek Rai,21-May-2026 02:13 PM,bpdf.pdf (153.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1121779_6,2900/EE/RED/GKP/25-26 Date 07-02-26,Block-Pipraich Gram Sabha Bahrampur Kusmaul mein Chandrika Nishad ke Ghar se Pannelal ke Ghar Tak CC Road Ka Nirman,1.0,5970949.0,Dug Dug and Veer Construction,INR,"1,367,825",1,5970949,Dug Dug and Veer Construction,13-Mar-2026 05:14 PM,Accepted-AOC,L1,21-May-2026 02:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5971024,M/S Avanish Traders,13-Mar-2026 06:04 PM,Rejected-AOC,L2,21-May-2026 02:13 PM,AOC
