Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
01-Apr-2026,"INR 2,493,746",90.0,Vinay Kumar Sharma,29-May-2026 04:33 PM,AOCB.pdf (577.00 KB),Construction of paved road from village Dhanaura Gauri towards the south to Ramnagar Shahabad Road. (Development Block - Majhgawan),1.0,5958448.0,CHAUHAN TRADERS,INR,"2,493,746",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BAREILLY,2026_REDUP_1115533_1,3102/05/EE/RED/2025-26 DATE 04-02-2026,Construction of paved road from village Dhanaura Gauri towards the south to Ramnagar Shahabad Road. (Development Block - Majhgawan),1,5958448,CHAUHAN TRADERS,09-Mar-2026 04:17 PM,Accepted-AOC,L1,29-May-2026 04:33 PM,Technical,Attach,Vinay Kumar Sharma,19-Mar-2026 11:33 AM,technical_2069896.pdf,EXECUTIVE ENGINEER,Internal,DAO AND AE,Vinay Kumar Sharma,30-Mar-2026 04:05 PM,finsummary_2069896.pdf (471.56 KB),Finance,Attach,Vinay Kumar Sharma,30-Mar-2026 03:53 PM,finance_2069896.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,DAO AND AE,Vinay Kumar Sharma,19-Mar-2026 11:45 AM,25-Mar-2026 11:00 AM,techsummary_2069896.pdf (471.56 KB),AOC,EXECUTIVE ENGINEER,EE RED SECOND FLOOR VIKAS BHAWAN BAREILLY,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BAREILLY,3102/05/EE/RED/2025-26 DATE 04-02-2026,2026_REDUP_1115533_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,12-Feb-2026 06:25 PM,11-Mar-2026 12:30 PM,12-Feb-2026 06:25 PM,11-Mar-2026 12:00 PM,NA ,NA ,12-Feb-2026 06:25 PM,11-Mar-2026 12:00 PM,25-Mar-2026 11:00 AM,1.0,SBI Bank,"2,354",Nil,Nil,No,Construction of paved road from village Dhanaura Gauri towards the south to Ramnagar Shahabad Road. (Development Block - Majhgawan),Construction of paved road from village Dhanaura Gauri towards the south to Ramnagar Shahabad Road. (Development Block - Majhgawan),Please refer Tender documents. ,NA ,"24,96,900",Civil Works,NA ,Tender,90.0,90.0,MAJHGANWAN,243001.0,NA ,NA ,NA ,EE RED SECOND FLOOR VIKAS BHAWAN BAREILLY,No ,No,"50,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,pdf,AOC
,,,,,,,,,,,,,,,,2,5958607,ram lakhan contractor and supplier,09-Mar-2026 03:47 PM,Rejected-Finance,L2,30-Mar-2026 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,AOC
