Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2026_REDUP_1112372_8,2895 Date 17-01-2026,Gram kurahua me gaya panday ke khet se mukhya nala tak siwar line ka karya.,1.0,5937327.0,M/S DEV CONSTRUCTION,INR,"1,563,580.29",1,5937327,M/S DEV CONSTRUCTION,27-Feb-2026 09:47 PM,Accepted-AOC,L1,23-May-2026 12:45 PM,23-May-2026,"INR 1,563,580.29",90.0,Rajesh Kumar Yadav,23-May-2026 12:45 PM,3443.pdf (577.00 KB),ee,Internal,,Rajesh Kumar Yadav,19-Mar-2026 06:00 PM,finsummary_2057444.pdf (224.81 KB),Technical,Admitted,Rajesh Kumar Yadav,10-Mar-2026 03:11 PM,,ee,Internal,,Rajesh Kumar Yadav,10-Mar-2026 03:15 PM,13-Mar-2026 12:00 PM,techsummary_2057444.pdf (649.50 KB),Finance,Admitted,Rajesh Kumar Yadav,19-Mar-2026 05:33 PM,,BOQ Comparative Chart,AOC,Gram kurahua me gaya panday ke khet se mukhya nala tak siwar line ka karya.,Gram kurahua me gaya panday ke khet se mukhya nala tak siwar line ka karya.,Please refer Tender documents. ,NA ,"13,55,100",Civil Works,NA ,Tender,90.0,90.0,EE RED VARANASI,221002.0,NA ,NA ,NA ,EE RED VARANASI,No ,No,766.0,Nil,Nil,No,1.0,SBI Bank,EE,EE RED VARANASI,"27,102",Yes,percentage,2.0%,Nil,Nil,05-Feb-2026 12:00 PM,28-Feb-2026 12:30 PM,05-Feb-2026 12:00 PM,28-Feb-2026 12:00 PM,NA ,NA ,05-Feb-2026 12:00 PM,28-Feb-2026 12:00 PM,13-Mar-2026 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,Tender doc,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2895 Date 17-01-2026,2026_REDUP_1112372_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5939330,M/S SWASTIK CONSTRUCTION,27-Feb-2026 09:28 PM,Rejected-Finance,L2,19-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5937465,M/S V K CONSTRUCTION,27-Feb-2026 01:54 PM,Rejected-Technical,"A, B and C of clause 3.1 (c) of ITB",10-Mar-2026 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
