S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,08-Mar-2026 09:00 AM,16-Jun-2026 12:27 AM,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,NA ,NA ,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,19-Mar-2026 01:00 PM,1,Fee/PreQual/Technical,.pdf,Technical,Block-Kauriram Gram Panchayat Jaanipur Jhajhwa mein Ramashraya ke Ghar se Mahabali ke Ghar Tak CC Road Ka Nirman Karya,Block-Kauriram Gram Panchayat Jaanipur Jhajhwa mein Ramashraya ke Ghar se Mahabali ke Ghar Tak CC Road Ka Nirman Karya,Please refer Tender documents. ,NA ,"14,96,000",Civil Works,NA ,Tender,90.0,90.0,GORAKHPUR,273001.0,NA ,NA ,NA ,Vikash Bhawan Gorakhpur,No ,No,"29,920",No,percentage,2.0%,Nil,Nil,812.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2900/EE/RED/GKP/25-26 Date 07-02-26,2026_REDUP_1121779_53,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,Vikash Bhawan,AOC,Executive Engineer,Internal,,Abhishek Rai,20-Mar-2026 11:42 AM,finsummary_2087933.pdf (152.96 KB),Finance,Opend,Abhishek Rai,20-Mar-2026 11:26 AM,,BOQ Comparative Chart,1.0,5972735.0,M/S BUDDHI SAGAR SINGH,INR,"1,495,091",1,5973313,M/S ASHNAND SINGH,14-Mar-2026 09:38 PM,Rejected-AOC,L2,21-May-2026 02:53 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1121779_53,2900/EE/RED/GKP/25-26 Date 07-02-26,Block-Kauriram Gram Panchayat Jaanipur Jhajhwa mein Ramashraya ke Ghar se Mahabali ke Ghar Tak CC Road Ka Nirman Karya,02-May-2026,"INR 1,495,091",90.0,Abhishek Rai,21-May-2026 02:53 PM,bpdf.pdf (153.00 KB),Technical,Opend,Abhishek Rai,17-Mar-2026 01:40 PM,,Executive Engineer,Internal,,Suresh Kumar Jaiswal,19-Mar-2026 12:31 PM,19-Mar-2026 01:00 PM,techsummary_2087933.pdf (455.12 KB),AOC
,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5972735,M/S BUDDHI SAGAR SINGH,14-Mar-2026 05:02 PM,Accepted-AOC,L1,21-May-2026 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
