Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Saharanpur Municipal Corporation Saharanpur UP,5862 B,2026_NNSAH_1114701_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,chief Engineer Nagar Nigam Saharanpur,chief Engineer Nagar Nigam Saharanpur,11-Feb-2026 06:00 PM,28-Feb-2026 11:00 AM,11-Feb-2026 06:00 PM,27-Feb-2026 03:00 PM,NA ,NA ,11-Feb-2026 06:00 PM,27-Feb-2026 03:00 PM,18-Apr-2026 12:45 PM,1.0,Construction of cc road and nali from amar saini house to manoj saini house for shivpuri at ward no. 46,Date,,826.0,Nil,Nil,No,Construction of cc road and nali from amar saini house to manoj saini house for shivpuri at ward no. 46,Construction of cc road and nali from amar saini house to manoj saini house for shivpuri at ward no. 46,Please refer Tender documents. ,NA ,"7,42,855",Civil Works,NA ,Tender,90.0,30.0,saharanpur,247001.0,NA ,NA ,NA ,nagar nigam saharanpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical,1.0,SBI Bank,"74,286",No,percentage,10.0%,Nil,Nil,AOC,Finance,Admitted,Madan Pal,18-Apr-2026 01:51 PM,finance_2067398.pdf,BOQ Comparative Chart,Suresh Chand,Internal,,Sandeep kumar Misra,18-Apr-2026 12:43 PM,18-Apr-2026 12:45 PM,techsummary_2067398.pdf (22.89 KB),Technical,Admitted,Sandeep kumar Misra,27-Mar-2026 05:24 PM,technical_2067398.pdf,Suresh chand,Internal,,Madan Pal,12-May-2026 09:16 PM,finsummary_2067398.pdf (24.31 KB),12-May-2026,"INR 738,917",30.0,Madan Pal,12-May-2026 09:19 PM,technew.pdf (24.00 KB),1.0,5929949.0,SHIV CONSTRUCTION,INR,"738,917",Saharanpur Municipal Corporation Saharanpur UP,2026_NNSAH_1114701_1,5862 B,Construction of cc road and nali from amar saini house to manoj saini house for shivpuri at ward no. 46,1,5930803,Maya Enterprises,26-Feb-2026 09:49 PM,Rejected-AOC,L3,12-May-2026 09:19 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5929949,SHIV CONSTRUCTION,26-Feb-2026 04:17 AM,Accepted-AOC,L1,12-May-2026 09:19 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5930641,YAMUNA ENTERPRISES,26-Feb-2026 06:25 PM,Rejected-AOC,L2,12-May-2026 09:19 PM,AOC
