Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,234/EERED/GBN/Dt-20.03.2026,2026_REDUP_1141137_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,EE RED GBN,EE RED GBN,1,Fee/PreQual/Technical,.pdf,T1,1.0,SBI Bank,C.C. road construction work from Satyam Residency Main Road to Subhash Sharma house in Village Chhapraula.,C.C. road construction work from Satyam Residency Main Road to Subhash Sharma house in Village Chhapraula.,Civil Work  ,NA ,"33,01,000",Civil Works,NA ,Tender,90.0,90.0,EE RED GBN,201306.0,NA ,NA ,NA ,EE RED GBN,No ,No,"67,000",No,fixed,,Nil,Nil,24-Apr-2026 10:00 AM,29-Apr-2026 04:00 PM,24-Apr-2026 10:00 AM,29-Apr-2026 12:00 PM,NA ,NA ,24-Apr-2026 10:00 AM,29-Apr-2026 12:00 PM,08-May-2026 12:30 PM,AOC,SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,04-May-2026 05:24 PM,08-May-2026 12:30 PM,techsummary_2130999.pdf (206.45 KB),Finance,Summary,ShashiBhushan Yadav,08-May-2026 04:00 PM,finance_2130999.pdf,BOQ Comparative Chart,SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,11-May-2026 05:33 PM,finsummary_2130999.pdf (219.18 KB),Technical,Summary,ShashiBhushan Yadav,04-May-2026 03:46 PM,technical_2130999.pdf,1,6074693,KESHAV ENTERPRISES,29-Apr-2026 09:39 AM,Rejected-Finance,L2,11-May-2026 05:33 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,2026_REDUP_1141137_3,234/EERED/GBN/Dt-20.03.2026,C.C. road construction work from Satyam Residency Main Road to Subhash Sharma house in Village Chhapraula.,1.0,6074934.0,NISHU ENTERPRISES,INR,"3,293,802.86",12-May-2026,"INR 3,293,802.86",90.0,ShashiBhushan Yadav,12-May-2026 08:58 PM,SatyamResidency.pdf (449.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6074934,NISHU ENTERPRISES,29-Apr-2026 09:12 AM,Accepted-AOC,L1,12-May-2026 08:58 PM,,,,,,,,,,,,,,,,AOC
