Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,1936/EE RED Jaunpur/25-26 Dt 23/02/2026,2026_REDUP_1130876_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Under District Jaunpur, Construction of CC road from Santodaya Hospital located at LB Road in Gram Panchayat Suris under development block Shahganj to the house of Shri Ram Manager via the house of Kamlesh Tripathi (Munna) journalist, Lot No 5","Under District Jaunpur, Construction of CC road from Santodaya Hospital located at LB Road in Gram Panchayat Suris under development block Shahganj to the house of Shri Ram Manager via the house of Kamlesh Tripathi (Munna) journalist, Lot No 5",Please refer Tender documents. ,NA ,"11,00,000",Civil Works,NA ,Tender,90.0,90.0,Jaunpur,222001.0,"EE RED Jaunpur, Vikas Bhawan, Jaunpur ","EE RED Jaunpur, Vikas Bhawan, Jaunpur  ",30-Mar-2026 11:00 AM ,"EE RED Jaunpur, Vikas Bhawan, Jaunpur",No ,No,"22,000",No,percentage,2.0%,Nil,Nil,"EE RED Jaunpur, Vikas Bhawan, Jaunpur","EE RED Jaunpur, Vikas Bhawan, Jaunpur",27-Mar-2026 12:00 PM,06-Apr-2026 12:30 PM,27-Mar-2026 12:00 PM,06-Apr-2026 12:00 PM,NA ,NA ,27-Mar-2026 12:00 PM,06-Apr-2026 12:00 PM,18-Apr-2026 03:15 PM,854.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,1.0,SBI Bank,AOC,Er Neeraj Kumar EE RED Jaunpur,Internal,,Neeraj Kumar,14-May-2026 11:07 AM,finsummary_2109770.pdf (560.56 KB),Technical,Summary,Neeraj Kumar,06-Apr-2026 07:17 PM,,Er Neeraj Kumar EE RED Jaunpur,Internal,"Er Neeraj Kumar EE RED Jaunpur, Er Maya Shankar AE RED Jaunpur, Er Alok Kumar AE RED Jaunpur, Mr Jai Prakash DAO RED Jaunpur",Alok Kumar,18-Apr-2026 03:11 PM,18-Apr-2026 03:15 PM,techsummary_2109770.pdf (206.50 KB),Finance,Summary,Neeraj Kumar,18-Apr-2026 03:42 PM,,BOQ Comparative Chart,1,6014083,SHIV SHANKAR DUBEY,28-Mar-2026 06:56 PM,Accepted-AOC,AoC,15-May-2026 09:05 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,2026_REDUP_1130876_5,1936/EE RED Jaunpur/25-26 Dt 23/02/2026,"Under District Jaunpur, Construction of CC road from Santodaya Hospital located at LB Road in Gram Panchayat Suris under development block Shahganj to the house of Shri Ram Manager via the house of Kamlesh Tripathi (Munna) journalist, Lot No 5",1.0,6014083.0,SHIV SHANKAR DUBEY,INR,"1,297,412",15-May-2026,"INR 1,297,412",90.0,Alok Kumar,15-May-2026 09:05 AM,1936_5.pdf (561.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6017096,SHUBH CONSTRUCTION,30-Mar-2026 02:07 PM,Rejected-Finance,Rejected,14-May-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
