Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
795.0,Nil,Nil,No,1.0,SBI Bank,Clearance of Pakdi Nasir Drain from KM 0.000 to KM 3.600 in District Basti,Clearance of Pakdi Nasir Drain from KM 0.000 to KM 3.600 in District Basti,Please refer Tender documents. ,NA ,"2,66,000",Civil Works,NA ,Rate Contract,90.0,15.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,"5,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",07/EE/2025-26,2026_UPIDC_1115970_12,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,16-Feb-2026 10:00 AM,25-Feb-2026 12:30 PM,16-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,NA ,NA ,16-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,12-Mar-2026 05:00 PM,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.",1.0,Corrigendum,Date,,AOC,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,28-Mar-2026 02:31 PM,finsummary_2071493.pdf (35.04 KB),Finance,AS PER UPLOAD,Dinesh Mohan,26-Mar-2026 08:23 PM,,BOQ Comparative Chart,1.0,5928571.0,M/S OM SAI TRADERS,INR,"97,767.8","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2026_UPIDC_1115970_12,07/EE/2025-26,Clearance of Pakdi Nasir Drain from KM 0.000 to KM 3.600 in District Basti,1,5903499,HARISH CHANDRA CHAUDHARY CONTRACTOR & BUILDING MATERIALS,20-Feb-2026 09:37 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 02:31 PM,18-May-2026,"INR 97,767.8",15.0,Dinesh Mohan,18-May-2026 01:00 PM,12.pdf (145.00 KB),AOC,Technical,AS PER UPLOAD,Dinesh Mohan,11-Mar-2026 02:16 PM,,Dinesh Mohan,Internal,VISHWANATH SHUKLA,Dinesh Mohan,11-Mar-2026 06:41 PM,12-Mar-2026 05:00 PM,techsummary_2071493.pdf (211.46 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,AS PER UPLOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5926765,M/S INDRAWATI CONSTRATION,24-Feb-2026 11:03 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5928711,M/S LAKSHYA CONSTRUCTION,25-Feb-2026 11:47 AM,Rejected-Technical,AS PER UPLOAD,11-Mar-2026 06:41 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,5925494,M/S MANMOHAN TRIPATHI,24-Feb-2026 08:54 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,5897253,M/S NARENDRA NATH CONTRACTOR,20-Feb-2026 01:31 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,5928571,M/S OM SAI TRADERS,25-Feb-2026 11:32 AM,Accepted-AOC,AS PER UPLOAD,18-May-2026 01:00 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,5923018,M/S SINGH CONSTRUCTION COMPANY,24-Feb-2026 02:29 PM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,5903007,R.G.S.CONSTRUCTION,21-Feb-2026 02:44 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,5897893,SHUBHAM CONSTRUCTION,20-Feb-2026 02:18 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,5928560,SUSHILA ENTERPRISES,25-Feb-2026 11:30 AM,Rejected-Finance,AS PER UPLOAD,28-Mar-2026 02:31 PM,,,,,,,,,,,,,,,,,,,,AOC
