Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,2026_REDUP_1128765_5,1891/EE RED Jaunpur/25-26 Dt 11/02/2026,"Under District Jaunpur, Construction of Interlocking Road from Dabboo Singh house to pitch Road in Gram Sabha Bharathari of Block Maharajganj, Lot No 5",1.0,6009140.0,MAA VINDHYA SHAKTI ASSOCIATE,INR,"2,216,244",1,6009140,MAA VINDHYA SHAKTI ASSOCIATE,26-Mar-2026 06:25 PM,Accepted-AOC,AOC,15-May-2026 08:50 AM,15-May-2026,"INR 2,216,244",90.0,Neeraj Kumar,15-May-2026 08:51 AM,1891_5.pdf (759.00 KB),Er Neeraj Kumar EE RED Jaunpur,Internal,,Alok Kumar,14-May-2026 10:42 AM,finsummary_2105227.pdf (759.57 KB),Technical,Summary,Neeraj Kumar,28-Mar-2026 07:12 PM,,Er Neeraj Kumar EE RED Jaunpur,Internal,"Er Neeraj Kumar EE RED Jaunpur, Er Maya Shankar AE RED Jaunpur, Er Alok Kumar AE RED Jaunpur, Mr Jai Prakash DAO RED Jaunpur",Neeraj Kumar,06-Apr-2026 04:35 PM,09-Apr-2026 12:00 PM,techsummary_2105227.pdf (758.17 KB),Finance,Summary,Neeraj Kumar,09-Apr-2026 03:28 PM,,BOQ Comparative Chart,AOC,"EE RED Jaunpur, Vikas Bhawan, Jaunpur","EE RED Jaunpur, Vikas Bhawan, Jaunpur",1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,1891/EE RED Jaunpur/25-26 Dt 11/02/2026,2026_REDUP_1128765_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Under District Jaunpur, Construction of Interlocking Road from Dabboo Singh house to pitch Road in Gram Sabha Bharathari of Block Maharajganj, Lot No 5","Under District Jaunpur, Construction of Interlocking Road from Dabboo Singh house to pitch Road in Gram Sabha Bharathari of Block Maharajganj, Lot No 5",Please refer Tender documents. ,NA ,"18,80,000",Civil Works,NA ,Tender,90.0,90.0,Jaunpur,222001.0,"EE RED Jaunpur, Vikas Bhawan, Jaunpur ","EE RED Jaunpur, Vikas Bhawan, Jaunpur  ",23-Mar-2026 11:00 AM ,"EE RED Jaunpur, Vikas Bhawan, Jaunpur",No ,No,944.0,Nil,Nil,No,1.0,SBI Bank,21-Mar-2026 12:00 PM,28-Mar-2026 12:30 PM,21-Mar-2026 12:00 PM,28-Mar-2026 12:00 PM,NA ,NA ,21-Mar-2026 12:00 PM,28-Mar-2026 12:00 PM,09-Apr-2026 12:00 PM,"37,600",No,percentage,2.0%,Nil,Nil,AOC
,,,,,,,,,2,6009819,M/S AVS CONSTRUCTION,26-Mar-2026 06:04 PM,Rejected-Finance,Rejected,14-May-2026 10:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
