Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,LETTAR NO 2233 DATE 13.03.2026,2026_REDUP_1132118_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"26,000",Yes,fixed,,Nil,Nil,FAKEERE DHANUK KE GHAR KE PAS SE UNNAO BORDER TAK INTERLOCKING AND NALI NIRMAN KARYA GRAM ZAHIDPUR,FAKEERE DHANUK KE GHAR KE PAS SE UNNAO BORDER TAK INTERLOCKING AND NALI NIRMAN KARYA GRAM ZAHIDPUR,FAKEERE DHANUK KE GHAR KE PAS SE UNNAO BORDER TAK INTERLOCKING AND NALI NIRMAN KARYA GRAM ZAHIDPUR ,NA ,"12,70,000",Civil Works,NA ,Tender,90.0,90.0,HARDOI,241001.0,NA ,NA ,NA ,E.E.R.E.D. HARDOI,No ,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,01-Apr-2026 10:00 AM,15-Apr-2026 12:30 PM,01-Apr-2026 10:00 AM,15-Apr-2026 12:00 PM,NA ,NA ,01-Apr-2026 10:00 AM,15-Apr-2026 12:00 PM,18-Apr-2026 12:00 PM,E.E.R.E.D. HARDOI,E.E.R.E.D. HARDOI,1.0,SBI Bank,944.0,Nil,Nil,No,AOC,EE,Internal,EE AE DAO,Pradeep Pal,13-May-2026 02:06 AM,finsummary_2112801.pdf (464.75 KB),Technical,EE AE DAO,Pradeep Pal,17-Apr-2026 06:44 PM,technical_2112801.pdf,EE,Internal,EE AE DAO,Pradeep Pal,17-Apr-2026 06:46 PM,18-Apr-2026 12:00 PM,techsummary_2112801.pdf (455.25 KB),Finance,EE AE DAO,Pradeep Pal,13-May-2026 02:05 AM,finance_2112801.pdf,BOQ Comparative Chart,1,6046436,P.K. ENTERPRISES,14-Apr-2026 05:47 PM,Accepted-AOC,RESPONSIVE,13-May-2026 02:08 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,2026_REDUP_1132118_1,LETTAR NO 2233 DATE 13.03.2026,FAKEERE DHANUK KE GHAR KE PAS SE UNNAO BORDER TAK INTERLOCKING AND NALI NIRMAN KARYA GRAM ZAHIDPUR,1.0,6046436.0,P.K. ENTERPRISES,INR,"1,202,617.389",13-May-2026,"INR 1,202,617.389",90.0,Pradeep Pal,13-May-2026 02:08 AM,FKIRE.pdf (465.00 KB),EE AE DAO,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6046117,PRAVEEN KUMAR BAJPAI,14-Apr-2026 05:32 PM,Rejected-AOC,RESPONSIVE,13-May-2026 02:08 AM,,,,,,,,,,,,,,,,,AOC
