Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1124422_7,965/RED/Chandauli/25-26 Date-01-01-2026,Vikash khand Chahaniya ke Gram Panchayat Keshavpur (Bachhauli) me Suresh Maurya ke makan se Ram Lakshan Prajapati ke makan tak interlocking road ka nirman kary.,1.0,5993316.0,SIDDHARTH CONSTRUCTION AND SUPPLIERS,INR,"1,125,853",1,5993316,SIDDHARTH CONSTRUCTION AND SUPPLIERS,20-Mar-2026 05:44 PM,Accepted-AOC,1st Lowest,19-May-2026 11:11 AM,06-May-2026,"INR 1,125,853",90.0,Aniruddh Kumar Yadav,19-May-2026 11:10 AM,KeshwapurAOC.pdf (369.00 KB),EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,09-Apr-2026 06:45 PM,finsummary_2095716.pdf (259.07 KB),Technical,bids received,Aniruddh Kumar Yadav,30-Mar-2026 05:02 PM,,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,30-Mar-2026 06:25 PM,07-Apr-2026 11:00 AM,techsummary_2095716.pdf (533.89 KB),Finance,bids received,Aniruddh Kumar Yadav,07-Apr-2026 02:47 PM,,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,EMD and Technical Document,12-Mar-2026 06:40 PM,27-Mar-2026 12:30 PM,12-Mar-2026 06:40 PM,27-Mar-2026 12:00 PM,NA ,NA ,12-Mar-2026 06:40 PM,27-Mar-2026 12:00 PM,07-Apr-2026 11:00 AM,1.0,SBI Bank,Vikash khand Chahaniya ke Gram Panchayat Keshavpur (Bachhauli) me Suresh Maurya ke makan se Ram Lakshan Prajapati ke makan tak interlocking road ka nirman kary.,Vikash khand Chahaniya ke Gram Panchayat Keshavpur (Bachhauli) me Suresh Maurya ke makan se Ram Lakshan Prajapati ke makan tak interlocking road ka nirman kary.,Please refer Tender documents. ,NA ,"11,26,000",Civil Works - Roads,NA ,Tender,90.0,90.0,chahaniya,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,"23,000",No,fixed,,Nil,Nil,"1,016",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,965/RED/Chandauli/25-26 Date-01-01-2026,2026_REDUP_1124422_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Date Extended.,Date,,EE RED Chandauli,EE RED Chandauli,AOC
,,,,,,,,,2,5993276,VIKAS CONSTRACTION,25-Mar-2026 11:06 AM,Rejected-Finance,Reject due to higher rate,09-Apr-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
