Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,27-Apr-2026 12:38 PM,02-May-2026 12:30 PM,techsummary_2060904.pdf (613.22 KB),Technical,FINAL,RAJNEESH KUMAR,27-Apr-2026 12:36 PM,technical_2060904.pdf,19-May-2026,"INR 1,678,926",90.0,RAJNEESH KUMAR,19-May-2026 05:01 PM,bamrauli.pdf (494.00 KB),final,1,6008908,M/S GIRI CONSTRUCTION,30-Mar-2026 07:50 AM,Accepted-AOC,y,19-May-2026 05:01 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1113367_18,3222/RED/Tender/2025-269 Date 14-01-2026,18- Gram Panchyat Bamhauri Block Moth ke Moth Baipass se Suresh Maharaj ki aur apex sadak ka nirman karya,1.0,6008908.0,M/S GIRI CONSTRUCTION,INR,"1,678,926",Finance,final,RAJNEESH KUMAR,19-May-2026 04:57 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,19-May-2026 04:59 PM,finsummary_2060904.pdf (493.69 KB),AOC,EE RED Jhansi,EE RED Jhansi,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,sbd,1.0,date6,Date,,"85,000",Yes,fixed,,Nil,Nil,18- Gram Panchyat Bamhauri Block Moth ke Moth Baipass se Suresh Maharaj ki aur apex sadak ka nirman karya,18- Gram Panchyat Bamhauri Block Moth ke Moth Baipass se Suresh Maharaj ki aur apex sadak ka nirman karya,Please refer Tender documents. ,NA ,"16,88,000",Civil Works,NA ,Tender,90.0,90.0,18- Gram Panchyat Bamhauri Block Moth ke Moth Baip,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,07-Feb-2026 06:00 PM,06-Apr-2026 03:30 PM,07-Feb-2026 06:00 PM,06-Apr-2026 12:00 PM,NA ,NA ,07-Feb-2026 06:00 PM,06-Apr-2026 12:00 PM,02-May-2026 12:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3222/RED/Tender/2025-269 Date 14-01-2026,2026_REDUP_1113367_18,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,2,6015841,SANJAY AGARWAL,30-Mar-2026 08:38 AM,Rejected-Finance,n,19-May-2026 04:59 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
