Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
RETENDER LOT 18,Silt clearance in internal section of Dharampur Dy in between km 12.000 to km 33.205 in District Aligarh during year 2026-27,Please refer Tender documents. ,NA ,"10,25,000",Civil Works - Others,NA ,Rate Contract,90.0,30.0,Aligarh,202001.0,NA ,NA ,NA ,Aligarh,No ,No,EXECUTIVE ENGINEER MGCCD 12 ALIGARH,DODHPUR CIVIL LINES ALIGARH,1,Fee/PreQual/Technical,.pdf,TENDERBOOK,516.0,Nil,Nil,No,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Moradabad||MGCCD-12 Aligarh",01/EE/2026-27,2026_UPIDC_1139705_52,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,08-May-2026 10:00 AM,14-May-2026 10:00 AM,08-May-2026 10:00 AM,13-May-2026 05:00 PM,NA ,NA ,08-May-2026 10:00 AM,13-May-2026 05:00 PM,15-May-2026 11:00 AM,"21,000",No,fixed,,Nil,Nil,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Moradabad||MGCCD-12 Aligarh",2026_UPIDC_1139705_52,01/EE/2026-27,RETENDER LOT 18,1,6110902,M/S GAJENDRA PAL SINGH CONTRACTOR,13-May-2026 12:40 PM,Rejected-Finance,L-2,23-May-2026 11:16 PM,Finance,ALL ADMITTED,manoj rao,19-May-2026 10:43 AM,,BOQ Comparative Chart,CHIEF ENGINEER MGCCP ALIGARH,Internal,MGCCD12 ALIGARH AND MGCCD 16 CHANDAUSI,manoj rao,23-May-2026 11:16 PM,finsummary_2143998.pdf (480.01 KB),1.0,6102260.0,M/s Prince Construction,INR,"710,044.1",Technical,ADMITTED,manoj rao,15-May-2026 12:04 AM,,23-May-2026,"INR 710,044.1",30.0,manoj rao,25-May-2026 06:58 PM,eighteendos.pdf (231.00 KB),AOC,CHIEF ENGINEER MGCCP ALIGARH,Internal,EE MGCCD 12 ALIGARH AND EE MGCCD 16 CHANDAUSI,manoj rao,15-May-2026 02:14 AM,15-May-2026 11:00 AM,techsummary_2143998.pdf (480.01 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,6102260,M/s Prince Construction,10-May-2026 10:31 AM,Accepted-AOC,L-1,25-May-2026 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
