Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
20-May-2026,"INR 3,842,170",30.0,Veerandra Singh,20-May-2026 02:36 PM,awardAAAAAAAAAApdf.PDF (371.00 KB),"Work of Connection relese under namami ganga scheme (hati karooda and TBN) Deposit Scheme against passed estimate under of EDD- THANABHAWAN under EDC,Shamli",Paschimanchal Vidyut Vitran Nigam Ltd.,2026_PVVNL_1145663_1,E-TENDER NO-02/2026-27,"Work of Connection relese under namami ganga scheme (hati karooda and TBN) Deposit Scheme against passed estimate under of EDD- THANABHAWAN under EDC,Shamli",1.0,6103446.0,M/S SHIV ELECTRICALS,INR,"3,842,170",1,6105171,J.P. TRADERS,11-May-2026 10:44 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-May-2026 02:13 PM,Finance,"Work of Connection relese under namami ganga scheme (hati karooda and TBN) Deposit Scheme against passed estimate under of EDD- THANABHAWAN under EDC,Shamli",Veerandra Singh,20-May-2026 02:26 PM,finance_2141827.pdf,BOQ Comparative Chart,VEERANDRA SINGH,Internal,,Veerandra Singh,20-May-2026 02:15 PM,20-May-2026 02:20 PM,techsummary_2141827.pdf (69.57 KB),Technical,"Work of Connection relese under namami ganga scheme (hati karooda and TBN) Deposit Scheme against passed estimate under of EDD- THANABHAWAN under EDC,Shamli",Veerandra Singh,20-May-2026 02:13 PM,technical_2141827.pdf,VEERANDRA SINGH,Internal,,Veerandra Singh,20-May-2026 02:30 PM,finsummary_2141827.pdf (68.05 KB),AOC,1.0,RTGS - RTGS Payment,"3,540",SE EDC SHAMLI,SHAMLI,No,1.0,Fee/PreQual/Technical,.pdf,Work of Connection relese under namami ganga scheme (hati karooda and TBN) Deposit Scheme,"Work of Connection relese under namami ganga scheme (hati karooda and TBN) Deposit Scheme against passed estimate under of EDD- THANABHAWAN under EDC,Shamli","Work of Connection relese under namami ganga scheme (hati karooda and TBN) Deposit Scheme against passed estimate under of EDD- THANABHAWAN under EDC,Shamli",Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,180.0,30.0,SHAMLI,247776.0,NA ,NA ,NA ,SE EDC SHAMLI,No ,No,06-May-2026 09:00 AM,11-May-2026 03:00 PM,06-May-2026 09:00 AM,11-May-2026 12:00 PM,NA ,NA ,06-May-2026 09:00 AM,11-May-2026 12:00 PM,20-May-2026 02:20 PM,SE EDC SHAMLI,"33/11 KV S/S KHERI KARMU, SHAMLI","36,000",No,fixed,,EDC SHAMLI,SHAMLI,Paschimanchal Vidyut Vitran Nigam Ltd.,E-TENDER NO-02/2026-27,2026_PVVNL_1145663_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2,6103617,M/S JAIN ELECTRIC CONTRACTOR,10-May-2026 06:14 PM,Rejected-AOC,L3,20-May-2026 02:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,Work of Connection relese under namami ganga scheme (hati karooda and TBN) Deposit Scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6105339,M/S PAWAN CONTRACTOR,11-May-2026 11:59 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-May-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6103446,M/S SHIV ELECTRICALS,10-May-2026 06:04 PM,Accepted-AOC,L1,20-May-2026 02:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6103414,"m/s sk contractor, shamli",10-May-2026 06:17 PM,Rejected-AOC,L2,20-May-2026 02:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
