Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||LGC, etawah",2026_UPIDC_1129451_6,02/EE/Acction/2025-26,Silt Auction from canal banks of Kursanda Dy. From Km. 0.000 to 1.200 for F.Y. 2025-26.,1.0,6018435.0,SHREE SHYAMLA TRADERS,INR,"138,453.38",1,6018612,BABA KEDARNATH ENTERPRISES,29-Mar-2026 03:48 PM,Rejected-Finance,Com,20-May-2026 11:07 AM,20-May-2026,"INR 138,453.38",30.0,RAKESH KUMAR,20-May-2026 11:08 AM,06.pdf (276.00 KB),RAKESH KUMAR,Internal,RAKESH KUMAR,RAKESH KUMAR,08-Apr-2026 03:04 PM,08-Apr-2026 04:00 PM,techsummary_2106828.pdf (113.30 KB),Finance,All Admitted,RAKESH KUMAR,20-May-2026 11:03 AM,,BOQ Comparative Chart,Rakesh Kumar,Internal,,RAKESH KUMAR,20-May-2026 11:07 AM,finsummary_2106828.pdf (113.30 KB),Technical,TECNICAL,RAKESH KUMAR,08-Apr-2026 02:41 PM,technical_2106828.pdf,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||LGC, etawah",02/EE/Acction/2025-26,2026_UPIDC_1129451_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Silt Auction from canal banks of Kursanda Dy. From Km. 0.000 to 1.200 for F.Y. 2025-26.,Silt Auction from canal banks of Kursanda Dy. From Km. 0.000 to 1.200 for F.Y. 2025-26.,Please refer Tender documents. ,NA ,"81,000",Civil Works - Canal,NA ,Tender,90.0,30.0,Etawah,206001.0,NA ,NA ,NA ,Etawah,No ,No,25-Mar-2026 11:00 AM,30-Mar-2026 01:00 PM,25-Mar-2026 11:00 AM,30-Mar-2026 12:00 PM,NA ,NA ,25-Mar-2026 11:00 AM,30-Mar-2026 12:00 PM,08-Apr-2026 04:00 PM,590.0,Nil,Nil,No,"12,000",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer Etawah Division Lower Ganga Canal Etawah,1.0,Fee/PreQual/Technical,.pdf,Docment,AOC
,,,,,,,,,2,6019352,M/S RAM KHILADI,29-Mar-2026 06:42 PM,Rejected-Finance,Com,20-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC
,,,,,,,,,3,6019213,raj shree construction,29-Mar-2026 06:10 PM,Rejected-Finance,Com,20-May-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6018435,SHREE SHYAMLA TRADERS,29-Mar-2026 02:37 PM,Accepted-AOC,Com,20-May-2026 11:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
