Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3680/RED/Tender/2025-26 Dt. 06-03-2026,2026_REDUP_1131830_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,sbd,Block Mauranipur ke Gram Rupadhamna main Hindu Samsanghat se Nathuram Kushwaha ke ghar ki aur jane wali road talab ke kinare se interlocking ka karya.,Block Mauranipur ke Gram Rupadhamna main Hindu Samsanghat se Nathuram Kushwaha ke ghar ki aur jane wali road talab ke kinare se interlocking ka karya.,Please refer Tender documents. ,NA ,"10,38,000",Civil Works,NA ,Tender,90.0,90.0,Block Mauranipur ke Gram Rupadhamna main Hindu Sam,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,1.0,date2,Date,,30-Mar-2026 06:30 PM,18-Apr-2026 03:30 PM,30-Mar-2026 06:30 PM,18-Apr-2026 12:00 PM,NA ,NA ,30-Mar-2026 06:30 PM,18-Apr-2026 12:00 PM,12-May-2026 12:30 PM,854.0,Nil,Nil,No,1.0,SBI Bank,"21,000",Yes,fixed,,Nil,Nil,EE RED Jhansi,EE RED Jhansi,AOC,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,08-May-2026 06:36 PM,12-May-2026 12:30 PM,techsummary_2112177.pdf (250.12 KB),Finance,final,RAJNEESH KUMAR,16-May-2026 12:15 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,16-May-2026 12:17 PM,finsummary_2112177.pdf (512.93 KB),Technical,final,RAJNEESH KUMAR,08-May-2026 06:34 PM,,1.0,6043213.0,HARENDRA SINGH,INR,"1,031,332",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1131830_5,3680/RED/Tender/2025-26 Dt. 06-03-2026,Block Mauranipur ke Gram Rupadhamna main Hindu Samsanghat se Nathuram Kushwaha ke ghar ki aur jane wali road talab ke kinare se interlocking ka karya.,1,6043213,HARENDRA SINGH,14-Apr-2026 07:24 PM,Accepted-AOC,y,16-May-2026 12:19 PM,16-May-2026,"INR 1,031,332",90.0,RAJNEESH KUMAR,16-May-2026 12:19 PM,roopadhamna.pdf (513.00 KB),final,AOC
,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6043217,LUCKY ENTERPRISES,14-Apr-2026 06:39 PM,Rejected-Finance,n,16-May-2026 12:17 PM,,,,,,,,AOC
