Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,354",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3686/RED/Tender/2025-26 Dt. 06.03.2026,2026_REDUP_1135671_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,10-Apr-2026 06:00 PM,15-Apr-2026 06:30 PM,10-Apr-2026 06:00 PM,15-Apr-2026 06:00 PM,NA ,NA ,10-Apr-2026 06:00 PM,15-Apr-2026 06:00 PM,04-May-2026 12:30 PM,1.0,SBI Bank,"1,52,000",Yes,fixed,,Nil,Nil,Gram maudehat Block Mauranipur Hanuman ji mandir samip sarvjanik shed ka nirman,Gram maudehat Block Mauranipur Hanuman ji mandir samip sarvjanik shed ka nirman,Please refer Tender documents. ,NA ,"30,38,000",Civil Works,NA ,Tender,90.0,120.0,Gram maudehat Block Mauranipur Hanuman ji mandir s,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,1,Fee/PreQual/Technical,.pdf,sbd,EE RED Jhansi,EE RED Jhansi,AOC,Technical,final,RAJNEESH KUMAR,28-Apr-2026 12:45 PM,,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,11-May-2026 01:20 PM,finsummary_2120397.pdf (218.87 KB),Finance,FINAL,RAJNEESH KUMAR,11-May-2026 01:12 PM,finance_2120397.pdf,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,28-Apr-2026 12:59 PM,04-May-2026 12:30 PM,techsummary_2120397.pdf (257.22 KB),11-May-2026,"INR 3,121,897",120.0,RAJNEESH KUMAR,11-May-2026 01:23 PM,Maudehat_shed.pdf (219.00 KB),FINAL,1,6044736,DENESH KUMAR SEHGAL,14-Apr-2026 05:16 PM,Accepted-AOC,Y,11-May-2026 01:23 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1135671_1,3686/RED/Tender/2025-26 Dt. 06.03.2026,Gram maudehat Block Mauranipur Hanuman ji mandir samip sarvjanik shed ka nirman,1.0,6044736.0,DENESH KUMAR SEHGAL,INR,"3,121,897",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6044765,LUCKY ENTERPRISES,14-Apr-2026 06:17 PM,Rejected-Finance,N,11-May-2026 01:20 PM,,,,,,,,,,AOC
