Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Saharanpur Municipal Corporation Saharanpur UP,5819 B,2026_NNSAH_1114703_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Construction of cc road from madeena masjid to aleem house for jain colony at ward no. 36,Date,,"28,711",No,percentage,10.0%,Nil,Nil,Construction of cc road from madeena masjid to aleem house for jain colony at ward no. 36,Construction of cc road from madeena masjid to aleem house for jain colony at ward no. 36,Please refer Tender documents. ,NA ,"2,87,106",Civil Works,NA ,Tender,90.0,30.0,saharanpur,247001.0,NA ,NA ,NA ,nirman vibhag,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical,chief engineer,chief engineer,11-Feb-2026 06:00 PM,28-Feb-2026 11:00 AM,11-Feb-2026 06:00 PM,27-Feb-2026 03:00 PM,NA ,NA ,11-Feb-2026 06:00 PM,27-Feb-2026 03:00 PM,20-Apr-2026 11:30 AM,590.0,Nil,Nil,No,AOC,Suresh Chand,Internal,,Sandeep kumar Misra,20-Apr-2026 11:27 AM,20-Apr-2026 11:30 AM,techsummary_2067401.pdf (22.89 KB),Finance,Admitted,Madan Pal,21-Apr-2026 04:27 PM,finance_2067401.pdf,BOQ Comparative Chart,Suresh chand,Internal,,Madan Pal,13-May-2026 08:25 PM,finsummary_2067401.pdf (24.31 KB),Technical,Admitted,Sandeep kumar Misra,09-Mar-2026 03:49 PM,technical_2067401.pdf,1,5936443,Shah Enterprises,27-Feb-2026 10:41 AM,Rejected-AOC,L2,13-May-2026 08:28 PM,1.0,5933802.0,YAMUNA ENTERPRISES,INR,"284,723",Saharanpur Municipal Corporation Saharanpur UP,2026_NNSAH_1114703_1,5819 B,Construction of cc road from madeena masjid to aleem house for jain colony at ward no. 36,13-May-2026,"INR 284,723",30.0,Madan Pal,13-May-2026 08:28 PM,technew.pdf (24.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5937353,S.S. CONSTRUCTION,27-Feb-2026 01:04 PM,Rejected-AOC,L3,13-May-2026 08:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5933802,YAMUNA ENTERPRISES,27-Feb-2026 09:34 AM,Accepted-AOC,L1,13-May-2026 08:28 PM,,,,,,,,,,,,,,,,AOC
