S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5936453.0,NATIONAL BUILDERS,27-Feb-2026 10:23 AM,Accepted-AOC,L1,11-May-2026 11:02 PM,Saharanpur Municipal Corporation Saharanpur UP,2026_NNSAH_1114610_1,5783 B,Construction of interloking tiles road from muzamil shop to tahir hasan house and bagejan masjid and yunus house for mursaleen colony at ward no. 60,1.0,5936453.0,NATIONAL BUILDERS,INR,"802,318",11-May-2026,"INR 802,318",30.0,Sandeep kumar Misra,11-May-2026 11:03 PM,technew.pdf (24.00 KB),Suresh chand,Internal,,Sandeep kumar Misra,11-May-2026 11:01 PM,finsummary_2067129.pdf (24.34 KB),Technical,Admitted,Sandeep kumar Misra,27-Mar-2026 11:55 AM,technical_2067129.pdf,Suresh Chand,Internal,,Sandeep kumar Misra,20-Apr-2026 10:20 AM,20-Apr-2026 10:25 AM,techsummary_2067129.pdf (22.89 KB),Finance,Admitted,Madan Pal,21-Apr-2026 03:47 PM,finance_2067129.pdf,BOQ Comparative Chart,AOC,chief Engineer Nagar Nigam Saharanpur,chief Engineer Nagar Nigam Saharanpur,826.0,Nil,Nil,No,1.0,SBI Bank,Construction of interloking tiles road from muzamil shop to tahir hasan house and bagejan masjid and yunus house for mursaleen colony at ward no. 60,Construction of interloking tiles road from muzamil shop to tahir hasan house and bagejan masjid and yunus house for mursaleen colony at ward no. 60,Please refer Tender documents. ,NA ,"8,06,837",Civil Works,NA ,Tender,90.0,30.0,saharanpur,247001.0,NA ,NA ,NA ,nagar nigam saharanpur,No ,No,11-Feb-2026 06:00 PM,28-Feb-2026 11:00 AM,11-Feb-2026 06:00 PM,27-Feb-2026 03:00 PM,NA ,NA ,11-Feb-2026 06:00 PM,27-Feb-2026 03:00 PM,20-Apr-2026 10:25 AM,Saharanpur Municipal Corporation Saharanpur UP,5783 B,2026_NNSAH_1114610_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical,1.0,Construction of interloking tiles road from muzamil shop to tahir hasan house and bagejan masjid and yunus house for mursaleen colony at ward no. 60,Date,,"80,684",No,percentage,10.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,AOC
