S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,6029008.0,M/S ALFAROOQUE CONSTRUCTION,INR,"5,984,070.4",UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,2026_UPPAN_1130490_1,"5643/PAN/ET/25-26, DT. 25-03-2026",CONSTRUCTION OF BOUNDARY WALL AT POLICE STATION TARABGANJ DISTT GONDA U.P.,1,6029008,M/S ALFAROOQUE CONSTRUCTION,04-Apr-2026 11:35 AM,Accepted-AOC,L1,25-May-2026 06:37 PM,25-May-2026,"INR 5,984,070.4",270.0,Sanjeev Saxena,25-May-2026 06:37 PM,TARABGANJLOA.pdf (675.00 KB),L1,SANJEEV SAXENA,Internal,PRASHANT TRIPATHI MANOJ KUMAR JOSHI,Sanjeev Saxena,08-Apr-2026 03:29 PM,09-Apr-2026 03:00 PM,techsummary_2108868.pdf (749.64 KB),Finance,All bidder admitted,Sanjeev Saxena,04-May-2026 03:08 PM,,BOQ Comparative Chart,SANJEEV SAXENA,Internal,PRASHANT TRIPATHI MANOJ KUMAR JOSHI,Sanjeev Saxena,04-May-2026 03:17 PM,finsummary_2108868.pdf (608.63 KB),Technical,1 BIDDER REJECTED IN TECHNICAL,Sanjeev Saxena,08-Apr-2026 03:25 PM,,AOC,CONSTRUCTION OF BOUNDARY WALL AT POLICE STATION TARABGANJ DISTT GONDA U.P.,CONSTRUCTION OF BOUNDARY WALL AT POLICE STATION TARABGANJ DISTT GONDA U.P.,Please refer Tender documents. ,NA ,"70,40,000",Civil Works,NA ,Tender,90.0,270.0,POLICE STATION TARABGANJ DISTT GONDA U.P.,271403.0,NA ,NA ,NA ,U.P. Police Avas Nigam Ltd,No ,No,"1,40,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,Sanjeev Saxena,U.P. Police Avas Nigam Ltd,"2,360",Nil,Nil,No,1.0,SBI Bank,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,"5643/PAN/ET/25-26, DT. 25-03-2026",2026_UPPAN_1130490_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,25-Mar-2026 06:55 PM,07-Apr-2026 11:30 AM,25-Mar-2026 06:55 PM,06-Apr-2026 05:00 PM,NA ,NA ,25-Mar-2026 06:55 PM,06-Apr-2026 05:00 PM,09-Apr-2026 03:00 PM,AOC
,,,,,,,,,2,6032832,M/s Arvind Singh,06-Apr-2026 02:38 PM,Rejected-Finance,L1,04-May-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6033257,M/S DHARINI INFRA TECH,06-Apr-2026 04:49 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Apr-2026 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6029640,M/S MAMTA TRADERS,05-Apr-2026 05:40 PM,Rejected-Finance,L2,04-May-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6030242,NYSHA CONSTRUCTION,05-Apr-2026 05:49 PM,Rejected-Finance,L3,04-May-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
