S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Date,Date,,944.0,Nil,Nil,No,EE RED Sitapur,Vikas Bhawan Sitapur,1,Fee/PreQual/Technical,.pdf,Technical,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1595/RED/Tender/2025-26,2026_REDUP_1117641_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"37,000",No,fixed,,Nil,Nil,Installation of High Mast Light (6way) at 11 locations (as per the attached list of Hon ble Member Legislative Council Sitapur) Block Pahla,Installation of High Mast Light (6way) at 11 locations (as per the attached list of Hon ble Member Legislative Council Sitapur) Block Pahla,Please refer Tender documents. ,NA ,"17,35,738",Electrical Works,NA ,Tender,90.0,90.0,"Pahla, Sitapur",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,18-Feb-2026 05:00 PM,26-Feb-2026 12:30 PM,18-Feb-2026 05:00 PM,26-Feb-2026 12:00 PM,NA ,NA ,18-Feb-2026 05:00 PM,26-Feb-2026 12:00 PM,16-Mar-2026 12:30 PM,AOC,1,5926551,M/s Mannat Construction,25-Feb-2026 11:10 AM,Rejected-Finance,Higher Rate Quoted,14-Apr-2026 02:19 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1117641_13,1595/RED/Tender/2025-26,Installation of High Mast Light (6way) at 11 locations (as per the attached list of Hon ble Member Legislative Council Sitapur) Block Pahla,Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,16-Mar-2026 05:29 PM,,BOQ Comparative Chart,Gyanendra Kumar,Internal,,Gyanendra Kumar,14-Apr-2026 02:19 PM,finsummary_2077151.pdf (523.77 KB),1.0,5930392.0,SHAKUN CONSTRUCTION,INR,"1,735,764",Gyanendra Kumar,Internal,,Gyanendra Kumar,12-Mar-2026 05:16 PM,16-Mar-2026 12:30 PM,techsummary_2077151.pdf (332.76 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,27-Feb-2026 01:40 PM,,23-Apr-2026,"INR 1,735,764",90.0,Gyanendra Kumar,13-May-2026 04:46 PM,55.pdf (361.00 KB),AOC
,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5930392,SHAKUN CONSTRUCTION,25-Feb-2026 06:58 PM,Accepted-AOC,L1,13-May-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
